nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
521,Supryadi 10,2023-09-17T09:48:59Z,Masrkt indo udh gk percaya lagi ama penegk  hukum karna gk di hukum mati karna bnyak yg nyogok maka merajalela narkoba,masrkt indo sudah tidak percaya ama penegk hukum karena tidak hukum mati karena banyak nyogok rajalela narkoba
523,parwo siswoyo,2023-09-13T16:26:53Z,"Semoga barbuknya ga jd tawas kyak jendral yg kmrin di sidang, ga tau kasusnya dah smp mana, dilihat dr angka harusnya hukuman mati dn prosesnya hrus cepat, semakin lm proses hukum semakin tinggi nilai diskonya",moga barbuk tidak tawas seperti jendral kmrin sidang tidak tau kasus smp dr angka hukum mati dan proses hrus cepat lm proses hukum tinggi nilai disko
535,Bapa rahayu,2023-09-13T00:19:30Z,"Reziem pdip banteng penjajah rakyat rempang,penindasnya para anak buah mafia teroris SAMBO",reziem pdip banteng jajah rakyat rempang tindas anak buah mafia teroris sambo
537,Pardamean Panjaitan,2023-09-17T06:12:52Z,Ini baru hrs tembak mati .karena ini merusak moral hukum Indonesia..menggapa karena barang ini bisa menyuapseluru kepolisian.,hrs tembak mati rusak moral hukum indonesia menggapa barang menyuapseluru polisi
544,Amras Simbolon,2023-09-13T11:26:38Z,"Gua masabodo....., tdk percaya sama polisi, tedi minahasa kemana ya, pelaku dibalik itu siapa ya..., mungkin cari perhatian...., apakah ini merupakan suatu peran.....???????",saya masabodo tidak percaya polisi tedi minahasa mana laku balik cari perhati peran
545,mu'arofah Jombang,2023-09-18T03:56:34Z,"Semua yg terlibat harus dihukum seberatnya bahkan harus dihukum mati sampai ke akar2nya bahkan yg aparat yg melindunginy agar yg lain jera,untuk melindungi masa depan anak bangsa..😅",libat hukum berat hukum mati aparat melindunginy jera lindung anak bangsa
546,FResh TV,2023-09-15T22:35:18Z,Luar biasa kerja keras polisi dalam mengungkap narkoba...<br>Bravo polisi semoga dapat mengungkap jaringan narkoba lainya...,keras polisi ungkap narkoba bravo polisi moga ungkap jaring narkoba lai
551,Herman Soekmadiwirya,2023-09-18T05:54:41Z,"Harus dipantau KAPOLRI dan jajarannya...juga unsur KEJAGUNG, MA.. SAMPE LAPAS...semua harus kompak memberantas  PEREDARAN NARKOBA SECSRA TUNTAS.<br><br>KARENA. Cari duit paling hampang dg nilai besar ya bisnis NARKOBA !!!  Klo.gak ketauan (apes).",pantau kapolri jajar unsur jagung ma sampai lapas kompak berantas edar narkoba secsra tuntas cari duit hampang dg nilai bisnis narkoba gak tau apes
555,Samsul Bahri Nurdin,2023-09-12T22:52:56Z,Maju terus Bareskrim polri dalam memberantas narkoba.sukses dan sehat selalu bapak Komjen pol Wahyu Widada dan jajaran.,maju bareskrim polri berantas narkoba sukses sehat komjen pol wahyu widada jajar
557,Muhammad Idris,2023-09-15T07:07:51Z,Seandainya petugas aparat benar2 mau membasmi narkoba sesungguhnya tdk sulit tapi aparat itu juga terlibat sebagai beking,anda tugas aparat benar basmi narkoba sungguh tidak sulit aparat libat beking
561,Sri Hariyanik,2023-09-15T10:22:29Z,MANTAP POLRI  SEJATI KITA MISKINKAN DAN DISITA ASSET OKNUM BANDAR2 NARKOBA SEKALIAN OKNUM BACKINGNYA GBU🤝👍👍👍👍😍😍😗😗💖💖💪💪🇮🇩🌏,mantap polri sejati miskin sita asset oknum bandar narkoba oknum backing gbu
562,Alexsander Alexsander,2023-09-13T04:52:30Z,"Mantaap polri... Untung yg di tugaskan bukan unk tangkap bandar dan BB polri yg jujur, klau yg tangkap jendral tedi Minahasa... Habis sudah BB dan uang dicuri.😅😅",mantaap polri untung tugas unk tangkap bandar bb polri jujur tangkap jendral tedi minahasa habis bb uang curi
564,segoro kidul,2023-09-16T06:01:14Z,"Mungkinkah ada Formalitas ? Yg penting sudah ada yg ditangkap, bandar dn beking polisi masih aman, bukti sudah difoto bisa dijual lg lain waktu. Nama baik pangkat naik",formalitas tangkap bandar dan beking polisi aman bukti foto jual lagi waktu nama pangkat
570,Cantika Chairunnisa,2023-09-13T01:33:25Z,iya 10 triliun di nampakkan polisi BNN lebih nya di bagi bagi tu...mungkin ni si bandarnya gak transfer BNN sama petinggi2 polosi makanya tu di tangkap...gw yakin BNN tau semua bandar internasional tapi karna korup di kasi uwang sogok jadi jarang tu bandar2 internasional di tangkap yg di habisitu cuma pemakai...,iya triliun nampakkan polisi bnn si bandar gak transfer bnn petinggi polos tangkap bnn tau bandar internasional karena korup kasi uwang sogok jarang bandar internasional tangkap habisitu pakai
573,Ivan Ruslianto,2023-09-13T22:32:26Z,"Halah sambo aja bebas😅😅😅 masak ini hukum mati , ga adill dong .. hukum seumur hidup aja jangan hukum mati wkwkwkw",halah sambo aja bebas masak hukum mati tidak adill hukum umur hidup aja hukum mati
577,Yasmarni M,2023-09-19T14:49:08Z,"Hbs kan semua pengedar Narkotika, yg perusak generasi muda bangsa klo dpt di hkm mati otak yg melancarkan aksidistribusi brg haram ini",hbs peedar narkotika usak generasi muda bangsa dpt hkm mati otak lancar aksidistribusi brg haram
579,atep tgr,2023-09-16T01:04:53Z,"fredy budiman di eksekusi regu tembak, yg ini pun seharusnya sama, terutama polisi yg terlibat kejahatan ini, krna tanpa mereka kejahatan seperti ini tdk akan bertumbuh hingga begitu besar yg merusak generasi bangsa",fredy budiman eksekusi regu tembak polisi libat jahat karena jahat tidak tumbuh rusak generasi bangsa
580,Happy  Blessed,2023-09-13T03:23:25Z,yg ditangkap yg kemeja motif burberry hitam koq mukanya MIRIP BANGET sama ANTON MEDAN ya?? Jgn² memang ANAK dr anton Medan??,tangkap kemeja motif burberry hitam koq muka banget anton medan jangan anak dr anton medan
589,Qiandra Selvina,2023-09-13T01:50:13Z,Bikin was was karna aku sendiri punya anak laki laki 2 udah remaja yang aku hawatirkan pergaulan bebas dan narkoba 😢😢posisi aku lagi kerja di Taiwan susah memantau anak anak ..😭😭😭,bikin was was karena anak laki laki sudah remaja hawatirkan gaul bebas narkoba posisi taiwan susah pantau anak anak
591,Djoko Sutrisno,2023-09-18T03:46:30Z,Ini baru acung jempol untuk polri tapi ini baru satu diantara begitu banyak masalah yg juga lebih berbahaya diantara yg lain adalah garong besar alias korup klas paus yg merusak sendi sendi masyarakat dan negara.,acung jempol polri bahaya garong alias korup klas paus rusak sendi sendi masyarakat negara
593,acoktube,2023-09-13T00:18:19Z,Akibat banyak korupsi banyak jadi bandar narkoba salahin para pejabat negara kenapa pada nyolong duit negara ini lah akibatnya,akibat korupsi bandar narkoba salahin jabat negara nyolong duit negara akibat
595,mulyadi yadi,2023-09-13T10:19:36Z,Warga mana tuh dulu sistem eksekusi bilang nya melanggar ham menghacurnkan generasi muda khuhsnya anak indonesia tidak melabggar ham jadi ham itu betul betul hak semau gue,warga sistem eksekusi bilang langgar ham menghacurnkan generasi muda khuhs anak indonesia melabggar ham ham hak mau saya
600,harry satria azza,2023-09-13T08:49:29Z,Yg jd jaringan narkoba termasuk polisi😂😂😂 bubarin aja polisinya ganti ma Hansip dijamin kinerja Hansip lbh gacor😅😅😅,jaring narkoba polisi bubarin aja polisi ganti ma hansip jamin kerja hansip lbh gacor
602,Kustowo Martojiyo,2023-09-16T07:46:16Z,Pak kapolri mestinya dgn tegas hrs peringatkan anak buah nya dgn keras kalo smpe terlibat bisnis narkoba ancamannya hukum mati.... Mestinya hrs begitu,kapolri mesti dengan hrs ingat anak buah dengan keras sampai libat bisnis narkoba ancam hukum mati mesti hrs
609,Sumari Sumari,2023-09-18T03:34:10Z,"Hukum Hukum Harus di tegakan , Hukum harus di tegakan betul . Hukum harus  tegas dan adil tidak pandang bulu . Kepada Siapapun siapapun . Siapa saja yg pantas nya di hukum Mati harus di Hukum mati . Jangan  di sisa sisain dg alasan supaya jadi petunjuk selanjutnya . <br>BRAVO HUKUM INDONESIA .",hukum hukum tega hukum tega hukum adil pandang bulu hukum mati hukum mati sisa sisain dg alas tunjuk bravo hukum indonesia
610,Moh Zahep,2023-09-15T23:53:58Z,Sayang hukum mati sudah di hapuskan. Enak yg jadi bekingnya cuman siul&quot; di dalam jeruji itupun akan di potong hukuman setelah menyuap orang dalam.,sayang hukum mati hapus beking cuman siul quot jeruji itu potong hukum suap
612,ida bagus alit arcana,2023-09-15T09:30:12Z,"siapa sih sedungguhnya pengedar narkoba knp tdk ada habisnya, adakah penegak hukum yg terlibat. Mari lindungi masyarakat kita dr narkoba, lalau ada penegak hukum yg terlibat hukumlah seberat beratnya dan bila perlu fitembak mati.",sedungguh peedar narkoba knp tidak habis ada tegak hukum libat mari lindung masyarakat dr narkoba lalau tegak hukum libat hukum berat berat fitembak mati
616,Hari Untung,2023-09-19T15:46:49Z,Perusak bangsa dan generasi muda wajib dihukum mati.karna narkoba suda masuk desa.bukan ABRI masuk desa seperti jaman suharto.tapi mnakroba masuk desa pengedar wajib di hukum mati.kalau di miskinkan saja pasti tetap jalan,usak bangsa generasi muda wajib hukum mati karena narkoba suda desa abri desa jaman suharto mnakroba desa peedar wajib hukum mati miskin jalan
620,Hengki Djapar,2023-09-13T02:48:04Z,Percuma ditangkap<br>Bila aparat hukum kita masih mau diajak main<br>Makanya Narkoba tdk ada habis2 nya.<br>Intinya penjara tidak bikin pelaku bertobat.<br>Justru jadi ajang buat mencari anggota baru.,ditangkapbila aparat hukum ajak mainmaka narkoba tidak habis inti penjara bikin laku tobat ajang cari anggota
622,shirley yeung,2023-09-13T01:05:58Z,kenapa gk Adil ya yg di hukum mati cuman Fredy budiman..bener2 gk adil hukum indonesia,tidak adil hukum mati cuman fredy budiman bener tidak adil hukum indonesia
627,arie garenk wahyudi,2023-09-13T04:55:54Z,Hancurkan juga oknum yang melindungi mereka biar negara ini benar benar bersih dari penjajahan narkotika. WAR ON DRUGS,hancur oknum lindung biar negara bersih jajah narkotika war on drugs
628,Kus Kusno,2023-09-13T12:50:26Z,"Alhamdulillah sabu nya udah pindah tangan dari mafia narkoba ke Bareskrim, tinggal POLRI yg ganti jadi bandar dan pengedar narkoba.sampai kiamat narkoba di Indonesia tak akan hilang.",alhamdulillah sabu sudah pindah tangan mafia narkoba bareskrim tinggal polri ganti bandar peedar narkoba kiamat narkoba indonesia hilang
637,Candu Video,2023-09-18T09:26:14Z,"Tembak matii saja semua aampah*negara ini pak sampahh sampah yang akan merusak anak cucu kita nanti ,jika diberikan hukuman ringan mereka gak bakal kapok kecuali tembak mati atau di racun saja pak.",tembak mati aampah negara sampahh sampah rusak anak cucu hukum ringan gak kapok kecuali tembak mati racun
638,Nelawati Nelawati,2023-09-14T23:24:08Z,"Bnr itu merusak generasi bangsa..dan beban,mslh besar  buat kluarga yg anak ny tersandung dgn mslh ini",benar rusak generasi bangsa beban mslh kluarga anak ny sandung dengan mslh
640,Al Yubi,2023-09-16T11:32:28Z,"PARA GEMBONG NARKOBA HARUS DIHUKUM TEMBAK DI TEMPAT SAJA, JANGAN BUANG BUANG ENERGI. KALAU ADA APARAT PENEGAK HUKUM YANG TERLIBAT JUGA HARUS DITEMBAK DI TEMPAT JUGA. MUSNAHKAN PARA MANUSIA MANUSIA BERAHKLAK BIADAB INI.❤🇮🇩💪💪💪💪💪💪💪",gembong narkoba hukum tembak buang buang energi aparat tegak hukum libat tembak musnah manusia manusia berahklak biadab
644,MTom Tom,2023-09-13T15:21:43Z,"INI BANDAR PASTI ADA KETERLIBATAN APARAT.<br>JADI KAMI MASYARAKAT TIDAK HERAN MELIHAT PENANGKAPAN BANDAR NARKOBA.<br>BEKINGNYA YG PERLU DI TANGKAP,ITU BARU HEBAT.",bandar libat aparat masyarakat heran tangkap bandar narkoba beking tangkap hebat
649,Fixer,2023-09-13T06:06:52Z,"Sdh sering menangkap paus, tp narko ttp jaya beredar. Dunia panggung sandirawa.",sudah tangkap paus tapi narko ttp jaya edar dunia panggung sandirawa
652,Tempe Bongkrek,2023-09-13T00:42:55Z,"Semoga para penegak hukum jaksa hakim polisi pengacara tidak mau terima suap, selamat  bertugas",moga tegak hukum jaksa hakim polisi acara terima suap selamat tugas
660,Faktiansyah Fak,2023-09-13T13:04:25Z,"Semoga saja arah sitanya benar, tidak ada BB yg di makan petugas, maupun berupa uang atau sabunya, karma slama ini yg kita denger dr kasus jendral polisi kmren yg mengganti BB sabu dg tawas penangkapan kecil aja banyak yg di makan sendiri dg anggota polri apalagi penangkapan besar gini.",moga arah sita bb makan tugas uang sabu karma lama denger dr jendral polisi kmren ganti bb sabu dg tawas tangkap aja makan dg anggota polri tangkap gin
668,Angel Ika77,2023-09-13T05:04:56Z,"Ini baru benar 👍 bukan nya masyarakat kecil yg ditangkap, karna masyarakat adalah korban kekejaman mereka. Klu sindikat nya gak disikat sampai tuntas, masyarakat takkan pernah sembuh bahkan tidak menutup kemungkinan akan ada kota zombie jg di indonesia ky yg di viladelvia. Sangat memprihatinkan.",masyarakat tangkap karena masyarakat korban kejam kalau sindikat gak sikat tuntas masyarakat tak sembuh tutup kota zombie juga indonesia ky viladelvia prihatin
669,bOAz sOEn,2023-09-15T09:38:24Z,"🚗🇮🇩uang hasil narkoba kasih ke rakyat miskin untuk bertanian, kebun buah  (semua uang sitaan narkoba  pelacuran  judi  ,dll thx",uang hasil narkoba kasih rakyat miskin tani kebun buah uang sita narkoba lacur judi thx
670,Whv°,2023-09-13T07:56:05Z,Salut sih dengan tanggapan memiskinkan si pelaku agar kedepannya tidak punya dana untuk mengulang kasus serupa  🤭 tapi menurut saya untuk menghentikan secara permanen ya (Hukuman mati) seperti halnya perusahaan besar pasti ada yg namanya cabang atau anak perusahaan,salut tanggap miskin si laku depan dana ulang henti permanen hukum mati hal usaha nama cabang anak usaha
672,NoGyro,2023-09-13T13:12:49Z,"Kita yg cari duit halal susahnya minta ampun,nah ini giliran cari duit haram gampang bngt dpt triliunan 😬 bravo pak polisi .. ini baru namanya polisi beneran 👍",cari duit halal susah ampun gilir cari duit haram gampang bngt dpt triliun bravo polisi nama polisi beneran
674,Bocil epep,2023-09-13T02:04:54Z,Polri harus disemangati dan diapresiasi.jgn blm apa2 dibully dsb.mereka ntar loyo berantas narkoba,polri semangat apresiasi jangan blm apa dibully dsb ntar loyo berantas narkoba
675,suhudan nasution,2023-09-13T09:16:52Z,"Wajahnya semua seperti kadroon yah matanya sipit sebagian Melayu dungu, haaa memang orang Yaman orang arab ini para habib habib. Ini nakal hik hik kalian pendatang meracuni anak bangsa, gak kayak keturunan China. Semua pada baik baik santun toleransi membawa kedamaian, ,",wajah kadroon yah mata sipit melayu dungu haaa yaman arab habib habib nakal hik hik datang racun anak bangsa gak kayak turun china santun toleransi bawa damai
676,Erva Siswanto,2023-09-16T08:25:06Z,"Keluar Sambo2 lainnya masih banyak lho?Kalau dibiarka akan meraja lela.Kupinta jangan dilindungi&amp;jangan dibela masalah hukumnya,&amp;dari pihak Pengadilan&amp;Mahkamah Agung jangan hukumnya dilaksanakan secara adil.Contohnya Fridi Sambo kog tdk jadi dihukum mati&amp;dibebaskan dari jeratan hukum.Ingat negara kita kan negara hukum?",sambo lho dibiarka raja lela pinta lindung bela hukum adil mahkamah agung hukum laksana adil contoh fridi sambo kog tidak hukum mati bebas jerat hukum negara negara hukum
679,"Subagyo yang mau merubah pancasila siapa coba,apa gak sadar apa,",2023-09-13T00:41:43Z,"Halah paling2 nnti hukuman ringan,coba di hukum mati berani tdk kapolri,",halah paling nanti hukum ringan coba hukum mati berani tidak kapolri
682,Burhan Riya,2023-09-13T00:03:33Z,Ini baru polri..sangat berprestasi pantas di beri penghargaan untuk jajaran yg terjun langsung dalam penangkapan..ini sangat langka di tubuh polri.polri harus bersih sprti ini..tidak tergiur dgn nilai uang yg begitu besar.andai saja polisi mau..bisa aja di suap bandar besar..tapi tugas lebih pnting dari segalanya.bravo polri.,polri prestasi harga jajar terjun tangkap langka tubuh polri polri bersih sprti giur dengan nilai uang andai polisi aja suap bandar tugas pnting bravo polri
683,Ferry AMD,2023-09-14T16:28:31Z,"Izin MABES POLRI tangkap terus bandar narkoba&#39;sekalian tangkap ada oknum oknum membekingi&#39;gara gara barang sampah ini banyak korban jadi ny,gara gara Shabu korban pemakaian barang bukti 200rb di kurung 5 tahun penjara sungguh tragis gak barang sampah ini",izin mabes polri tangkap bandar narkoba tangkap oknum oknum beking gara gara barang sampah korban ny gara gara shabu korban pakai barang bukti kurung tahun penjara sungguh tragis gak barang sampah
684,Fakir wong,2023-09-13T05:24:20Z,Terima kasih aparat polisi sudah menangkap jaringan narkoba internasional smoga dihukum seberat beratnya. Narkoba bisa merusak dan menghancurkan generasi bangsa.,terima kasih aparat polisi tangkap jaring narkoba internasional smoga hukum berat berat narkoba rusak hancur generasi bangsa
685,Roges Ucok,2023-09-20T07:23:29Z,"INI SEMUA NYA SUDAH SETTINGAN SEMUA<br><br>APARAT KEPOLISIAN NYA YG MENJADI APARAT KEPOLISIAN NYA YG PAKAI BAJU POLISI NYA BUKAN MANUSIA TAPI ORANG ORANG BERJIWA BINATANG DAN PENGECUT SELALIGUS PENAKUT<br><br>LEBIH BERARTI SEORANG JAWARA PREMAN DAN SEORANG BENCONG YG JELAS DIA MEMBAWA DIRI NYA SENDIRI TIDAK MEMBAWA BAWA EMBEL EMBEL APA PUN ATAU PUN BAWA BAWA SESUATU YG DASAR NYA BERSIH DAN SUCI<br><br>TIDAK SEPERTI ORANG ORANG YG BERJIWA KOTOR DAN BERSIFAT BINATANG YG MASUK DAN BEKERJA MENJADI POLISI DENGAN MEMAKAI BAJU DAN LAMBANG NYA<br><br>MEREKA ITU LAH YG MENGOTORI TUGAS SUCI DAN BAJU SUCI NYA POLISI DENGAN JIWA DAN SIFAT BINATANG NYA MEREKA<br><br>SEORANG PENGECUT PENAKUT YG AWAL NYA<br>LALU MENJADI SOK BERANI SETELAH MASUK DAN MENJADI POLISI<br><br>BERSEMBUNYI, MENUMPANG DAN MENGGUNAKAN BAJU DAN TUGAS SUCI NYA POLISI MEREKA ORANG YG BERJIWA DAN BERSIFAT BINATANG ITU BERNIAT DENGAN MELAKUKAN TINDAKAN LICIK PICIK DAN JAHAT ATAS NAFSU KEINGINAN NYA MEREKA<br><br>MEREKA LAH GOLONGAN ORANG ORANG MUNAFIKKUN YG LOLOS MASUK MENJADI POLISI YG MENGHANCURKAN MENGOTORI KESUCIAN DARI TUGAS DAN BAJU NYA<br><br>SATU KONTAINER NARKOBA PUNYA FREDDY BUDIMAN ITU KEMANA....??<br><br>SIAPA JENDERAL YG PEGANG KENDALI NYA NARKOBA ITU.......??<br><br><br>WAKTU FREDY BUDIMAN DI WAWANCARAI OLEH SALAH SATU REPORTER NYA TV ONE DI DALAM SALAH SATU RUANGAN PENJARA SEBELUM DIA DI EKSEKUSI MATI BESOK NYA<br><br>KENAPA REPORTER TV ONE ITU TIDAK MEMBERIKAN FREDDY BUDIMAN WAKTU UNTUK DIA BICARA INGIN MENYATAKAN DAN MENJELAS KAN SEMUA NYA......??<br><br>DENGAN GERAK GAYA BICARA REPORTER TV ONE ITU MENUNJUK KAN BAHWA DIA SUDAH DI ATUR DAN DI TEKAN OLEH SEORANG PEJABAT JENDERAL MELALUI ANAK BUAH NYA SEBELUM MEWAWANCARAI SEORANG FREDDY BUDIMAN NAPI BANDAR NARKOBA ITU<br><br>DAN PENGACARA FREDDY BUDIMAN DAN KELUARGA NYA FREDDY BUDIMAN PUN PASTI NYA MENDAPAT KAN TEKANAN DAN ANCAMAN DARI PEJABAT APARAT KEPARAT ITU<br><br>MAKA NYA APA SETELAH FREDDY BUDIMAN ITU DI EKSEKUSI MATI<br>ADA YG BERANI TERIAK MEMBUKA KEBENARAN NYA YG MEREKA SENDIRI PUN TAUU TAPI TAKUT DI ANCAM MATI OLEH PEJABAT PETINGGI APARAT KEPARAT ITU<br><br>POLISI YG BAIK, BENAR DAN JUJUR ITU YG HANYA MEMAKAN DARI HASIL GAJI KERJA NYA SAJA YG HALAL TOYIBAN ITU HANYA SEDIKIT BISA DI HITUNG PAKAI JARI JUMLAH NYA MEREKA DI KEPOLISIAN",settingan semuaaparat polisi aparat polisi pakai baju polisi manusia jiwa binatang kecut selaligus penakutlebih jawara preman bencong bawa bawa bawa embel embel bawa bawa dasar bersih sucitidak jiwa kotor sifat binatang polisi pakai baju lambang nyamereka kotor tugas suci baju suci polisi jiwa sifat binatang merekaseorang kecut takut nyalalu sok berani polisibersembunyi tumpang baju tugas suci polisi jiwa sifat binatang niat tindak licik picik jahat nafsu merekamereka golong munafikkun lolos polisi hancur kotor suci tugas baju nyasatu kontainer narkoba freddy budiman mana jenderal pegang kendali narkoba waktu fredy budiman wawancara salah reporter tv one salah ruang penjara eksekusi mati besok nyakenapa reporter tv one freddy budiman waktu bicara jelas gerak gaya bicara reporter tv one atur tekan jabat jenderal anak buah wawancara freddy budiman napi bandar narkoba itudan acara freddy budiman keluarga freddy budiman tekan ancam jabat aparat keparat itumaka freddy budiman eksekusi matiada berani teriak buka benar tauu takut ancam mati jabat petinggi aparat keparat itupolisi jujur makan hasil gaji halal toyiban hitung pakai jari polisi
688,cah tegal ngapak,2023-09-13T02:06:57Z,"Semoga segera terungkap semua sampai ke akar akarnya,,, seperti china dong ketegasanya, jangan di sogok duit terus diam permasalahan hilang, korupsi juga harus di tindak tegas dong.",moga ungkap akar akar china ketegasa sogok duit diam masalah hilang korupsi tindak
689,Sugi Anto,2023-09-14T09:38:41Z,Bakar hidup. Itu bahaya buat rakyat indonesia.klk tidak ceoat. Di hukum mati.nanti lama2 uang lagi yg bicara.,bakar hidup bahaya rakyat indonesia klk ceoat hukum mati lama uang bicara
693,Campur Sari,2023-09-16T03:39:03Z,"Ini hal sdh ke tiga kali selama 10 tahun teeakhir ini...dan baru sepuluh tahun ini jujur..bs sampai triyunan...ingat tdk pasokkan ton an..narkoba...yg tertabgkap..lalu kedua kali sama..dan saat ini malah jaringan narkoba...<br>Knp bisa Bgtu..ini nyata...dulu jgn mengada ngada klo bilang ada smp pasokkan ber ton ton....ini sm aja meng hancurkan anak bangsa ,masa depsn bangsa ini....krn setelah terkena Narkoba mrk tdk bs berpikir secara normal ada sel syaraf yg rusak...<br>Dan klo pemerintah pny wibawa harusnya tdk ada yg seperti ini !!!mrk takut segan utk kirim.narkoba ke Indonesoa..aolg saat ini ko ada se org perwira ikut dlm jaringan Narkoba...",sudah tahun teeakhir puluh tahun jujur triyunan tidak pasok ton narkoba tertabgkap jaring narkoba knp begitu jangan ada ngada bilang smp pasok ber ton ton aja meng hancur anak bangsa depsn bangsa karena kena narkoba mrk tidak pikir normal sel syaraf rusak perintah pny wibawa tidak mrk takut segan untuk kirim narkoba indonesoa aolg ko orang perwira dalam jaring narkoba
696,buzzer_AHOK,2023-09-13T03:08:41Z,Si sigit dapet kyk nya..teddy aja daper..masak sigit gak dapet..😅😅😅,si sigit dapet kyk teddy aja daper masak sigit gak dapet
698,sayyyynotolgbt,2023-09-17T06:50:34Z,Jgn gitu lah bang sisain dikit lah..gimana kami mau nyabu lagi kek gini cerita nya..harga makin mahal lah kayak gini😢😂😂😂,jangan gitu bang sisain dikit gimana nyabu kek gin cerita harga mahal kayak gin
705,Ardi Firmansah,2023-09-13T10:01:25Z,Terus kembangkan jangan berhenti sampai disini tidak menutup kemungkinan adanya oknum aparat yg menjadi bekingan dalam sindikat jaringan pengederan narkoba jaringan besar ini.,kembang henti tutup oknum aparat beking sindikat jaring keder narkoba jaring
712,pendekar,2023-09-13T12:20:32Z,Polisi udah berusaha keras menangkap bandar narkoba eeehhh mpe di pengadilan dapat hukuman seperti maling sandal,polisi sudah usaha keras tangkap bandar narkoba eeehhh mpe adil hukum maling sandal
723,Kakanda,2023-09-13T04:01:01Z,"gara&quot; barang ini, anak muda dan para generasi suka berbuat anarkis karna efek obat&quot; terlarang, narkoba dan minuman keras",gara quot barang anak muda generasi suka buat anarkis karena efek obat quot larang narkoba minum keras
727,Putrii Nrh,2023-09-13T03:35:49Z,Kejak Sa an kalao ada  kasos narkba  yg tertangkap  ke jagong mala senang  uwang banyak wong endonesia banyak yg islam  tapi gk iman  imane karo donyo tok.,kejak kalao kasos narkba tangkap jagong mala senang uwang endonesia islam tidak iman imane karo donyo tok
730,Yongka d2nd,2023-09-16T09:58:28Z,Hihihi... bt apan narkoba yg kelola ORDE DUNGU sndri... ungkap dong IJASAH PALSUNYA FIRAUN ... KAN dongo ape takut... CEMEN,hihihi bt apan narkoba kelola orde dungu ijasah palsu firaun dongo ape takut cemen
732,Sumiaryani Yani,2023-09-13T03:59:45Z,DI HUKUM MATI DAN DI MISKIN KAN KALO PERLU DI DORPARA POLRI. HARUS SIGAP. TERMASUK.ANGGOTA POLRI  JANG PADA YADI KURIR NARKOBA   DAN MALAH.NGAYAK RAKJAT MENYADI KURIR  SAMPE KE DESA2 WAHI BPK POLRI TELUSURI  PARA APARAT JANG MENJALAJ GUNA KAN YABATAN,hukum mati miskin dorpara polri sigap anggota polri jang yad kurir narkoba ngayak rakjat sad kurir sampai desa wah bpk polri telusur aparat jang menjalaj yabatan
738,Rambo Jumbo,2023-09-13T00:46:10Z,Narkoba hasil penangkapan harus di bakar disaksikan seluruh rakyat Indonesia... karena heran aja narkoba kok tetap banyak yg pake ga abis2,narkoba hasil tangkap bakar saksi rakyat indonesia heran aja narkoba pake tidak abis
741,Abdul Ganj,2023-09-19T18:18:53Z,Jaringan narkoba terbesar di indonesia.asal darima .uwang sebanjak 10.terlyun dariasal uwang itu darimana .bisa citak sediri ada paberik mesinsediri.tolong cek dulu apa hasil yuwal narkoba. Oke,jaring narkoba besar indonesia darima uwang sebanjak terlyun dariasal uwang darimana citak diri paberik mesinsediri tolong cek hasil yuwal narkoba oke
743,Hariyo Looeso,2023-09-12T23:43:55Z,Hukum seberat2nya...ini bukan skdar bisnis...tp trmasuk jaringan perusak bngsa/PENJAJAH ERA sekarang...GALI LUBANG sampai akar2nya....siapapun BEEKING nyaaa...mski ada dikepala sndiri...,hukum skdar bisnis tapi trmasuk jaring usak bngsa jajah era gali lubang beeking nyaaa mski kepala sndiri
745,kus yuda,2023-09-13T01:47:04Z,"Pa Kapolri tolong usut juga penipuan berkedok onlen modus apa saja makin hari makin meresahkan .korban bnyk trmasuk sodara juga kena ,,mohon diperhatikan pa🙏🙏 tak lupa saya mengapresiasi kinerja seluruh jajaran polri .salut trhdap kinerjanya makin solid👍",pa kapolri tolong usut tipu kedok onlen modus resah korban banyak trmasuk sodara perhati pa lupa apresiasi kerja jajar polri salut trhdap kerja solid
757,ahmad subandi,2023-09-19T02:42:21Z,"Tmvak mati ,,banyak generasi rusak lihat negara lain yg maju ,,undang² buang yg sifatnya kasihan berani berbuat Bernai menerima resiko akibatnya,,omnibuslow penghianat bangsa",tmvak mati generasi rusak negara maju undang buang sifat kasihan berani buat bernai terima resiko akibat omnibuslow penghianat bangsa
760,Nurhi II,2023-09-16T08:54:03Z,Ya Alloh hamba memohon apapun kejahatan yg merugikan negara semoga semuanya bs terungkap dan di hukum setimpal,alloh hamba mohon apa jahat rugi negara moga ungkap hukum timpal
761,imran,2023-09-16T12:52:09Z,Utk penanganan bandar narkoba kt tiru presiden Philipina jgn hiraukan isu HAM utk kasus ini krn narkoba bikin rusak generasi muda.....,untuk tangan bandar narkoba kt tiru presiden philipina jangan hirau isu ham untuk karena narkoba bikin rusak generasi muda
768,Widodo Trihardjanto,2023-09-13T11:48:20Z,"Bagus... Tapi maaf.. kami belum bisa lupakan Sambo cs, Rempang, mafia tanah, harun masiku... dan banyak ketidakadilan lainnya... Terlalu banyak...",bagus maaf lupa sambo cs rempang mafia tanah harun mas ketidakadilan
