nomor,nama_akun,tanggal_komentar,komentar
596,Jery Jery,2023-09-13T02:08:12Z,Tembak mati aja
597,Afandi 93,2023-09-14T12:57:10Z,Itu bb diputar lagi
598,Bangbeanz,2023-09-18T05:34:17Z,Si bintang 2 apa kabarnya ?
599,Shortmovie,2023-09-14T12:39:33Z,"Capaian Luar biasa, Selamat Buat Polri 👍"
600,harry satria azza,2023-09-13T08:49:29Z,Yg jd jaringan narkoba termasuk polisi😂😂😂 bubarin aja polisinya ganti ma Hansip dijamin kinerja Hansip lbh gacor😅😅😅
601,Jon Surbati,2023-09-15T23:34:25Z,Bila perlu hukuman mati agar ide2 tentang atau sumber pembuatan narkoba bisa misnah🙏
602,Kustowo Martojiyo,2023-09-16T07:46:16Z,Pak kapolri mestinya dgn tegas hrs peringatkan anak buah nya dgn keras kalo smpe terlibat bisnis narkoba ancamannya hukum mati.... Mestinya hrs begitu
603,mfey08 mfey,2023-09-16T03:50:26Z,Tinggal nunggu beberapa bulan lagi bakal ada yang naik jabatan di keplosian
604,Arumi Ringga,2023-09-14T10:12:48Z,Asetnya lelang..berikan ke kementrian..<br>Distribusikan ke rakyat tidak mampu..<br>Berupa <br>Biaya pendidikan<br>Fasilitasi kesehatan
605,💖Delima💖,2023-09-13T06:59:37Z,masyalloh
606,Kenza Day,2023-09-15T14:47:33Z,Jatah kepokian kurang banyak
607,Vides Kurniawan,2023-09-14T15:07:05Z,Berita Peralihan rempang
608,Jermias Tehubyuluw,2023-09-18T08:33:45Z,duit bnyak gt mau d bawa kmn.....
609,Sumari Sumari,2023-09-18T03:34:10Z,"Hukum Hukum Harus di tegakan , Hukum harus di tegakan betul . Hukum harus  tegas dan adil tidak pandang bulu . Kepada Siapapun siapapun . Siapa saja yg pantas nya di hukum Mati harus di Hukum mati . Jangan  di sisa sisain dg alasan supaya jadi petunjuk selanjutnya . <br>BRAVO HUKUM INDONESIA ."
610,Moh Zahep,2023-09-15T23:53:58Z,Sayang hukum mati sudah di hapuskan. Enak yg jadi bekingnya cuman siul&quot; di dalam jeruji itupun akan di potong hukuman setelah menyuap orang dalam.
611,Raksa Wardhana,2023-09-12T22:15:06Z,"Alhamdulillah, semoga yang bandar narkoba yang lain bisa segera terbongkar dan tidak ada lagi peredaran narkoba di indonesia. Aamiin"
612,ida bagus alit arcana,2023-09-15T09:30:12Z,"siapa sih sedungguhnya pengedar narkoba knp tdk ada habisnya, adakah penegak hukum yg terlibat. Mari lindungi masyarakat kita dr narkoba, lalau ada penegak hukum yg terlibat hukumlah seberat beratnya dan bila perlu fitembak mati."
613,jefriadi Ahmad,2023-09-19T15:25:10Z,Ini yg harus Di perangi polisi bukan pulau rempang
614,prasetyo adi,2023-09-16T02:15:54Z,Nah gini nangkep yg bandar gede. Jangan cuma pemakai yg di tangkepin.
615,IYUM  hongkong vlog,2023-09-14T23:27:55Z,Hukuman mati menanti
616,Hari Untung,2023-09-19T15:46:49Z,Perusak bangsa dan generasi muda wajib dihukum mati.karna narkoba suda masuk desa.bukan ABRI masuk desa seperti jaman suharto.tapi mnakroba masuk desa pengedar wajib di hukum mati.kalau di miskinkan saja pasti tetap jalan
617,Animal Kids Toys,2023-09-21T00:44:56Z,Alhamdulillah...<br>Info dana kenakalan cair bos 😂😅
618,Uban 007,2023-09-13T08:33:27Z,"BANGKE ini sindikat, pasti ada INSTASI kita yang ikut main. Hukum Mati semua nya."
619,bawean network,2023-09-15T09:33:38Z,yg fantastis hukuman mati di ubah jadi seumur hidup
620,Hengki Djapar,2023-09-13T02:48:04Z,Percuma ditangkap<br>Bila aparat hukum kita masih mau diajak main<br>Makanya Narkoba tdk ada habis2 nya.<br>Intinya penjara tidak bikin pelaku bertobat.<br>Justru jadi ajang buat mencari anggota baru.
621,SUGENG RIYANTO CHANNEL,2023-09-16T15:18:08Z,Koruptor juga di sita asetnya
622,shirley yeung,2023-09-13T01:05:58Z,kenapa gk Adil ya yg di hukum mati cuman Fredy budiman..bener2 gk adil hukum indonesia
623,Pak Bangko123,2023-09-12T23:17:59Z,"SIAP,..❤❤❤slamat buat seluruh petugas Narkoba 👍👍👍"
624,Rizky Aan,2023-09-17T22:02:39Z,Wah iki ijole diskon potongan hukuman e sambo cs wwkwkwkwk
625,Yuda Aryawan,2023-09-17T14:59:07Z,Barang bukti jangan di ganti tepung..kanci....
626,Indra azis,2023-09-18T09:15:20Z,"Lah ini jelas2 kreminal berat,kok tidak  di buka bajunya seperti pejuang2 rempang yg di tangkap ?."
627,arie garenk wahyudi,2023-09-13T04:55:54Z,Hancurkan juga oknum yang melindungi mereka biar negara ini benar benar bersih dari penjajahan narkotika. WAR ON DRUGS
628,Kus Kusno,2023-09-13T12:50:26Z,"Alhamdulillah sabu nya udah pindah tangan dari mafia narkoba ke Bareskrim, tinggal POLRI yg ganti jadi bandar dan pengedar narkoba.sampai kiamat narkoba di Indonesia tak akan hilang."
629,RamaDefino,2023-09-13T05:15:02Z,Bakal jadi pengurangan jiwa...
630,𒈞™suͥkaͣsͫuka,2023-09-15T04:35:54Z,pasti ada beking dari aparat tuh
631,Madi Junaidi,2023-09-15T07:00:39Z,Mengerikan indonesia
632,Nr_alif,2023-09-17T09:25:07Z,Aset yg di sita nanti di kemanain yah 😊
633,Mussyi 96,2023-09-15T23:22:43Z,Harus di hukuman eksekusi mati
634,m khaerul nizam bubur bubur,2023-09-17T16:28:35Z,Jngn diputer lgi y pak polisi🤣
635,Biasa Aja,2023-09-13T09:09:50Z,Mhn bagikan BB uang 65M kpd kami fakir miskin ....
636,Jon John,2023-09-13T11:48:37Z,Masuk pak eko... Kantong penuh...
637,Candu Video,2023-09-18T09:26:14Z,"Tembak matii saja semua aampah*negara ini pak sampahh sampah yang akan merusak anak cucu kita nanti ,jika diberikan hukuman ringan mereka gak bakal kapok kecuali tembak mati atau di racun saja pak."
638,Nelawati Nelawati,2023-09-14T23:24:08Z,"Bnr itu merusak generasi bangsa..dan beban,mslh besar  buat kluarga yg anak ny tersandung dgn mslh ini"
639,Zero 51 sukarno,2023-09-15T21:58:06Z,Seharusnya Hukuman Mati itu.. Tapi sdh bukan rahasia umum kebanyakan jalankan bisnis masih bisa walau di bui..
640,Al Yubi,2023-09-16T11:32:28Z,"PARA GEMBONG NARKOBA HARUS DIHUKUM TEMBAK DI TEMPAT SAJA, JANGAN BUANG BUANG ENERGI. KALAU ADA APARAT PENEGAK HUKUM YANG TERLIBAT JUGA HARUS DITEMBAK DI TEMPAT JUGA. MUSNAHKAN PARA MANUSIA MANUSIA BERAHKLAK BIADAB INI.❤🇮🇩💪💪💪💪💪💪💪"
641,M Kemal,2023-09-13T00:13:50Z,Hasil Sitaan dijaga ya
642,AHMAD FAMILY,2023-09-13T05:52:20Z,Masih banyak apa lagi di aceh.
643,Kenta Wijaya,2023-09-19T03:14:23Z,Selama aparat masih ada berperan masalah nakorba masih tetap ada
644,MTom Tom,2023-09-13T15:21:43Z,"INI BANDAR PASTI ADA KETERLIBATAN APARAT.<br>JADI KAMI MASYARAKAT TIDAK HERAN MELIHAT PENANGKAPAN BANDAR NARKOBA.<br>BEKINGNYA YG PERLU DI TANGKAP,ITU BARU HEBAT."
645,Ruslan Suparji,2023-09-13T08:00:26Z,Terawas gimana kabarnya?
646,ahmad jamie,2023-09-12T23:33:53Z,Keren POLRI
647,Hamid Indonesia,2023-09-16T12:28:59Z,Y bgtulah negara klo hukumnya kyk taik
648,Doni Boy,2023-09-13T02:39:25Z,Tertangkap pelaku narkoba tp tumbuh lagi dg lebih banyak dari mereka
649,Fixer,2023-09-13T06:06:52Z,"Sdh sering menangkap paus, tp narko ttp jaya beredar. Dunia panggung sandirawa."
650,Kiki Fans,2023-09-13T01:16:23Z,Ko mudah yah masuk indo jdi inget kasus teddi hmm
651,Heri siswantoro Heri,2023-09-13T12:14:49Z,Astagfirolloh alzim
652,Tempe Bongkrek,2023-09-13T00:42:55Z,"Semoga para penegak hukum jaksa hakim polisi pengacara tidak mau terima suap, selamat  bertugas"
653,iSo GoOd,2023-09-16T01:17:57Z,"Semua harus mengawasi, jangan sampai BB d jual lagi"
654,Ari Ari,2023-09-14T10:29:59Z,"😂😂😂😂😂😂😂😂.....wauuuu......ada udang dibalik batu,"
655,Czaren Bladimir,2023-09-12T22:35:41Z,Ke ingat jirayut ku 😂 polisi Thailand bicara😂😂
656,Joedy,2023-09-16T11:01:09Z,Wow.... Penindakan hukumnya harus benar.
657,Arif Herlambang,2023-09-16T07:09:06Z,tmbak mti percpatt lah
658,Purnawarman,2023-09-13T00:20:12Z,...ya ALLAH ... negeri ini benar2 telah dikuasai MAFIA ...!
659,iNiVidi • 1.1 jt x,2023-09-14T11:30:41Z,emas di laci rumah???
660,Faktiansyah Fak,2023-09-13T13:04:25Z,"Semoga saja arah sitanya benar, tidak ada BB yg di makan petugas, maupun berupa uang atau sabunya, karma slama ini yg kita denger dr kasus jendral polisi kmren yg mengganti BB sabu dg tawas penangkapan kecil aja banyak yg di makan sendiri dg anggota polri apalagi penangkapan besar gini."
661,Idha Rakhma,2023-09-16T07:30:37Z,Bakal di hukum ky fredy budiman ga ini
662,bunda Dsw,2023-09-15T18:53:12Z,Wow....fantastis sangat luar biasa 👍👍👍
663,Cinta Hampa,2023-09-13T02:48:20Z,Semoga polisi amanah Dan barangnya di musnahkan Dan TDK dinpakai pribadi bahkan di jual lagi🤣🤣🤣🤣
664,Avik AgeLarbeD,2023-09-15T16:29:45Z,"biasanya aman sih, Lihat aja akhir kisahnya"
665,Syaiful Maslul,2023-09-16T01:42:36Z,Kalau di hukum mati akan musna jika hanya di kurung akan berulah kembali jdi percuma saja kalau tidak di hukum mati
666,Aldi Rangkoety,2023-09-23T14:33:11Z,Semuanya hanya permainan....kita hanya sebagai penglihat yg tak bisa menunjuk..
667,sulami ami,2023-09-13T14:05:24Z,Setelah itu uangnya mau di kemanain?....
668,Angel Ika77,2023-09-13T05:04:56Z,"Ini baru benar 👍 bukan nya masyarakat kecil yg ditangkap, karna masyarakat adalah korban kekejaman mereka. Klu sindikat nya gak disikat sampai tuntas, masyarakat takkan pernah sembuh bahkan tidak menutup kemungkinan akan ada kota zombie jg di indonesia ky yg di viladelvia. Sangat memprihatinkan."
669,bOAz sOEn,2023-09-15T09:38:24Z,"🚗🇮🇩uang hasil narkoba kasih ke rakyat miskin untuk bertanian, kebun buah  (semua uang sitaan narkoba  pelacuran  judi  ,dll thx"
670,Whv°,2023-09-13T07:56:05Z,Salut sih dengan tanggapan memiskinkan si pelaku agar kedepannya tidak punya dana untuk mengulang kasus serupa  🤭 tapi menurut saya untuk menghentikan secara permanen ya (Hukuman mati) seperti halnya perusahaan besar pasti ada yg namanya cabang atau anak perusahaan
671,Anas Adriansyah,2023-09-16T06:05:46Z,"Pencitraan dlu gesss, ntar lagi lanjut mainnya 😂"
672,NoGyro,2023-09-13T13:12:49Z,"Kita yg cari duit halal susahnya minta ampun,nah ini giliran cari duit haram gampang bngt dpt triliunan 😬 bravo pak polisi .. ini baru namanya polisi beneran 👍"
673,Dion Indra Lesmana,2023-09-13T10:23:20Z,GILA NGALAHIN PABLO ESCOBAR😂😂😂
674,Bocil epep,2023-09-13T02:04:54Z,Polri harus disemangati dan diapresiasi.jgn blm apa2 dibully dsb.mereka ntar loyo berantas narkoba
675,suhudan nasution,2023-09-13T09:16:52Z,"Wajahnya semua seperti kadroon yah matanya sipit sebagian Melayu dungu, haaa memang orang Yaman orang arab ini para habib habib. Ini nakal hik hik kalian pendatang meracuni anak bangsa, gak kayak keturunan China. Semua pada baik baik santun toleransi membawa kedamaian, ,"
676,Erva Siswanto,2023-09-16T08:25:06Z,"Keluar Sambo2 lainnya masih banyak lho?Kalau dibiarka akan meraja lela.Kupinta jangan dilindungi&amp;jangan dibela masalah hukumnya,&amp;dari pihak Pengadilan&amp;Mahkamah Agung jangan hukumnya dilaksanakan secara adil.Contohnya Fridi Sambo kog tdk jadi dihukum mati&amp;dibebaskan dari jeratan hukum.Ingat negara kita kan negara hukum?"
677,Ody Selong,2023-09-15T03:20:51Z,Ini kasus untuk naikkan jabatan para jenderal
678,Ahmad Firmansah,2023-09-13T07:16:38Z,Kaga percaya gw d musnahin...narkoba...woy biar jadi pahlawan.
679,"Subagyo yang mau merubah pancasila siapa coba,apa gak sadar apa,",2023-09-13T00:41:43Z,"Halah paling2 nnti hukuman ringan,coba di hukum mati berani tdk kapolri,"
680,Putra Setyo,2023-09-17T07:36:44Z,Pengalihan isu Rempang 😂
681,Kalimaya Music,2023-09-13T07:39:02Z,Bb masuk polisi bakal d edarkan lagi sama oknum tidak bertanggung jawab😂😂😂
682,Burhan Riya,2023-09-13T00:03:33Z,Ini baru polri..sangat berprestasi pantas di beri penghargaan untuk jajaran yg terjun langsung dalam penangkapan..ini sangat langka di tubuh polri.polri harus bersih sprti ini..tidak tergiur dgn nilai uang yg begitu besar.andai saja polisi mau..bisa aja di suap bandar besar..tapi tugas lebih pnting dari segalanya.bravo polri.
683,Ferry AMD,2023-09-14T16:28:31Z,"Izin MABES POLRI tangkap terus bandar narkoba&#39;sekalian tangkap ada oknum oknum membekingi&#39;gara gara barang sampah ini banyak korban jadi ny,gara gara Shabu korban pemakaian barang bukti 200rb di kurung 5 tahun penjara sungguh tragis gak barang sampah ini"
684,Fakir wong,2023-09-13T05:24:20Z,Terima kasih aparat polisi sudah menangkap jaringan narkoba internasional smoga dihukum seberat beratnya. Narkoba bisa merusak dan menghancurkan generasi bangsa.
685,Roges Ucok,2023-09-20T07:23:29Z,"INI SEMUA NYA SUDAH SETTINGAN SEMUA<br><br>APARAT KEPOLISIAN NYA YG MENJADI APARAT KEPOLISIAN NYA YG PAKAI BAJU POLISI NYA BUKAN MANUSIA TAPI ORANG ORANG BERJIWA BINATANG DAN PENGECUT SELALIGUS PENAKUT<br><br>LEBIH BERARTI SEORANG JAWARA PREMAN DAN SEORANG BENCONG YG JELAS DIA MEMBAWA DIRI NYA SENDIRI TIDAK MEMBAWA BAWA EMBEL EMBEL APA PUN ATAU PUN BAWA BAWA SESUATU YG DASAR NYA BERSIH DAN SUCI<br><br>TIDAK SEPERTI ORANG ORANG YG BERJIWA KOTOR DAN BERSIFAT BINATANG YG MASUK DAN BEKERJA MENJADI POLISI DENGAN MEMAKAI BAJU DAN LAMBANG NYA<br><br>MEREKA ITU LAH YG MENGOTORI TUGAS SUCI DAN BAJU SUCI NYA POLISI DENGAN JIWA DAN SIFAT BINATANG NYA MEREKA<br><br>SEORANG PENGECUT PENAKUT YG AWAL NYA<br>LALU MENJADI SOK BERANI SETELAH MASUK DAN MENJADI POLISI<br><br>BERSEMBUNYI, MENUMPANG DAN MENGGUNAKAN BAJU DAN TUGAS SUCI NYA POLISI MEREKA ORANG YG BERJIWA DAN BERSIFAT BINATANG ITU BERNIAT DENGAN MELAKUKAN TINDAKAN LICIK PICIK DAN JAHAT ATAS NAFSU KEINGINAN NYA MEREKA<br><br>MEREKA LAH GOLONGAN ORANG ORANG MUNAFIKKUN YG LOLOS MASUK MENJADI POLISI YG MENGHANCURKAN MENGOTORI KESUCIAN DARI TUGAS DAN BAJU NYA<br><br>SATU KONTAINER NARKOBA PUNYA FREDDY BUDIMAN ITU KEMANA....??<br><br>SIAPA JENDERAL YG PEGANG KENDALI NYA NARKOBA ITU.......??<br><br><br>WAKTU FREDY BUDIMAN DI WAWANCARAI OLEH SALAH SATU REPORTER NYA TV ONE DI DALAM SALAH SATU RUANGAN PENJARA SEBELUM DIA DI EKSEKUSI MATI BESOK NYA<br><br>KENAPA REPORTER TV ONE ITU TIDAK MEMBERIKAN FREDDY BUDIMAN WAKTU UNTUK DIA BICARA INGIN MENYATAKAN DAN MENJELAS KAN SEMUA NYA......??<br><br>DENGAN GERAK GAYA BICARA REPORTER TV ONE ITU MENUNJUK KAN BAHWA DIA SUDAH DI ATUR DAN DI TEKAN OLEH SEORANG PEJABAT JENDERAL MELALUI ANAK BUAH NYA SEBELUM MEWAWANCARAI SEORANG FREDDY BUDIMAN NAPI BANDAR NARKOBA ITU<br><br>DAN PENGACARA FREDDY BUDIMAN DAN KELUARGA NYA FREDDY BUDIMAN PUN PASTI NYA MENDAPAT KAN TEKANAN DAN ANCAMAN DARI PEJABAT APARAT KEPARAT ITU<br><br>MAKA NYA APA SETELAH FREDDY BUDIMAN ITU DI EKSEKUSI MATI<br>ADA YG BERANI TERIAK MEMBUKA KEBENARAN NYA YG MEREKA SENDIRI PUN TAUU TAPI TAKUT DI ANCAM MATI OLEH PEJABAT PETINGGI APARAT KEPARAT ITU<br><br>POLISI YG BAIK, BENAR DAN JUJUR ITU YG HANYA MEMAKAN DARI HASIL GAJI KERJA NYA SAJA YG HALAL TOYIBAN ITU HANYA SEDIKIT BISA DI HITUNG PAKAI JARI JUMLAH NYA MEREKA DI KEPOLISIAN"
686,Apis Apis,2023-09-18T04:45:29Z,harus dihukum mati.apa bl ada aparat yg terlibat hukum mati juga hartaxa sita semua.
687,Ndoro Bei,2023-09-13T07:37:28Z,Nangkap narkoba gimana bosnya kadang polisi  juga
688,cah tegal ngapak,2023-09-13T02:06:57Z,"Semoga segera terungkap semua sampai ke akar akarnya,,, seperti china dong ketegasanya, jangan di sogok duit terus diam permasalahan hilang, korupsi juga harus di tindak tegas dong."
689,Sugi Anto,2023-09-14T09:38:41Z,Bakar hidup. Itu bahaya buat rakyat indonesia.klk tidak ceoat. Di hukum mati.nanti lama2 uang lagi yg bicara.
690,NgeLibeRRR r,2023-09-17T06:24:03Z,Apa kabar para penegak hukum yg kesandung hukum
691,METIME,2023-09-13T05:55:43Z,RATAKAN !!!!!!
692,Mila Karmila,2023-09-13T03:07:25Z,Manusia spt ini d hukum mati saja !! Ga akan kapok kalo ttp hidup !! Tegas lah RI !!
693,Campur Sari,2023-09-16T03:39:03Z,"Ini hal sdh ke tiga kali selama 10 tahun teeakhir ini...dan baru sepuluh tahun ini jujur..bs sampai triyunan...ingat tdk pasokkan ton an..narkoba...yg tertabgkap..lalu kedua kali sama..dan saat ini malah jaringan narkoba...<br>Knp bisa Bgtu..ini nyata...dulu jgn mengada ngada klo bilang ada smp pasokkan ber ton ton....ini sm aja meng hancurkan anak bangsa ,masa depsn bangsa ini....krn setelah terkena Narkoba mrk tdk bs berpikir secara normal ada sel syaraf yg rusak...<br>Dan klo pemerintah pny wibawa harusnya tdk ada yg seperti ini !!!mrk takut segan utk kirim.narkoba ke Indonesoa..aolg saat ini ko ada se org perwira ikut dlm jaringan Narkoba..."
694,Arkana Adiya,2023-09-15T07:18:23Z,Ngomong² Uang nya di kemanain ya?
695,Deckay Dop,2023-09-19T03:09:35Z,"Dia yang pelihara dia yang nangkep, 😂.. ( dunia ini panggung sandiwara )"
696,buzzer_AHOK,2023-09-13T03:08:41Z,Si sigit dapet kyk nya..teddy aja daper..masak sigit gak dapet..😅😅😅
697,Saipul Rahman,2023-09-18T01:47:30Z,Mana mungkin bisa hilang narkoba klo 😂😂😂
698,sayyyynotolgbt,2023-09-17T06:50:34Z,Jgn gitu lah bang sisain dikit lah..gimana kami mau nyabu lagi kek gini cerita nya..harga makin mahal lah kayak gini😢😂😂😂
699,Tibers Trg,2023-09-14T12:58:45Z,"Berngsek pantes ahir ahir ini agak susah cari uang,rupa rupanya di timbun di sini"
700,Marioho Simangunsong,2023-09-13T03:47:31Z,"Buset dah,kok bisa bengini Negaraku ini,Narkoba merusak generasi muda."
701,Maimunah,2023-09-12T22:33:59Z,Alhamdulillah .....semoga para jaringan bandar narkoba segera diberantas sampai ke akar2 nya
702,Nisa Puji,2023-09-14T02:28:17Z,Semoga ngga ada Tedy Minahasa jilid 2 😊
703,Tobibah Tobibah,2023-09-16T05:04:53Z,Coba mau diapakn ?
704,Hadi Soje,2023-09-19T12:33:07Z,Semua pelaku Harus di Hukum Mati. dan Selidiki Oknum Aparat pasti ada yang Terlibat....!!!
705,Ardi Firmansah,2023-09-13T10:01:25Z,Terus kembangkan jangan berhenti sampai disini tidak menutup kemungkinan adanya oknum aparat yg menjadi bekingan dalam sindikat jaringan pengederan narkoba jaringan besar ini.
706,Umu Fariha,2023-09-15T19:55:38Z,"Uda Brp lama itu Bisnis Sampek Sebesar itu,,, Dulu Ada Pak Rambo Aman² wae,,, 😊😊😂 Biasa Comen Dagelan😅😅"
707,berita hangat,2023-09-13T06:35:09Z,itu kira2 nanti uangnya setelah jadi barang bukti akan dikemanakan ya ?🤔
708,Eko Pranoto,2023-09-19T06:36:31Z,Eksekusi
709,Anis crypto 01,2023-09-13T08:52:06Z,pk aset yg di sita buat apa pk
710,Raya Fishing,2023-09-16T14:32:01Z,Hukum mati
711,Jabar Ufi,2023-09-15T15:07:48Z,Binasakan
712,pendekar,2023-09-13T12:20:32Z,Polisi udah berusaha keras menangkap bandar narkoba eeehhh mpe di pengadilan dapat hukuman seperti maling sandal
713,Dina Hardina AN,2023-09-13T02:12:49Z,"Indonesia cuma sibuk dgn narkobah,,kirim bantuan kek ke marocco sana biar bermamfaat"
714,Jami Marzuki,2023-09-17T22:36:31Z,👍
715,Kapten 15,2023-09-12T22:39:43Z,Mata sipit lagi..biang kerok lebobrokan di NKRI
716,camp david,2023-09-13T06:45:35Z,Langsung hukum mati  Pak...tembak mati supaya jera...kalau tidak nanti muncul lagi bibit2 baru😢
717,Adit Pratama,2023-09-16T10:58:07Z,Ngeri
718,Siti Aminah,2023-09-13T00:35:42Z,Ini beneran atau hanya sekedar politik pura2 semata ada udang di balik batu
719,Bulat -,2023-09-18T02:27:04Z,Hukum mati saja pak. Jangan sampai jadi macam sambo nanti. Lepas lagi.
720,Rudi TabA8,2023-09-16T04:55:56Z,"Hasil sitaan harus tepat di musnahkan, jangan sampai di jual SAMBO😂"
721,Joe_Pratama87,2023-09-16T03:32:08Z,Swadikap
722,iwan iwan,2023-09-13T13:55:36Z,selama ini kok.kemana ya.ini apes.aja.tapi.yang namanya sekian besar.pasti ada yg mwlindungi.bisa masuk ke insonesia.
723,Kakanda,2023-09-13T04:01:01Z,"gara&quot; barang ini, anak muda dan para generasi suka berbuat anarkis karna efek obat&quot; terlarang, narkoba dan minuman keras"
724,Dede Eka,2023-09-13T05:05:35Z,Tahanan elit mah di kasih kursi 😂
725,sama tv,2023-09-15T17:22:15Z,Tolong di hukum seberat2 nya... Jgn ada yg hidup supaya ada epek jera...
726,Prastio H,2023-09-16T13:45:48Z,yakin 😁🫢 kalau itu bener2 Kakapnya ?  ingat kata alm Fredy budiman .... ?
727,Putrii Nrh,2023-09-13T03:35:49Z,Kejak Sa an kalao ada  kasos narkba  yg tertangkap  ke jagong mala senang  uwang banyak wong endonesia banyak yg islam  tapi gk iman  imane karo donyo tok.
728,Kei Huat,2023-09-13T01:42:17Z,nanti barang bukti nya beredar lagi
729,Sasuke Konoha,2023-09-16T04:35:10Z,1 kata Pesta🎉🎉
730,Yongka d2nd,2023-09-16T09:58:28Z,Hihihi... bt apan narkoba yg kelola ORDE DUNGU sndri... ungkap dong IJASAH PALSUNYA FIRAUN ... KAN dongo ape takut... CEMEN
731,Rere Stone,2023-09-13T04:54:29Z,Ini dah kayak series Ozark aja.
732,Sumiaryani Yani,2023-09-13T03:59:45Z,DI HUKUM MATI DAN DI MISKIN KAN KALO PERLU DI DORPARA POLRI. HARUS SIGAP. TERMASUK.ANGGOTA POLRI  JANG PADA YADI KURIR NARKOBA   DAN MALAH.NGAYAK RAKJAT MENYADI KURIR  SAMPE KE DESA2 WAHI BPK POLRI TELUSURI  PARA APARAT JANG MENJALAJ GUNA KAN YABATAN
733,Tumpal Lubis,2023-09-13T04:18:37Z,"Harus lebih serius lagi aparat ,dalam mengintai para pebisnis sabu-sabu ini"
734,1patria,2023-09-16T01:08:22Z,Akhirnya pemburuan 9 tahun membuahkan hasil. Bravo Kepolisian Indonesia. 👍👍👏👏👏
735,Mistomo Gresik,2023-09-14T08:35:27Z,Di miskinkan koruptor sama narkoba yakin pasti epek jeranya lebih epektif
736,Deman Huri,2023-09-13T00:11:55Z,Mengerikan selain korupsi yang merusak sendi-sendi masyarakat adalah Narkoba...karena sudah sampai ke desa2...
737,Abey Salim,2023-09-17T00:05:44Z,😊
738,Rambo Jumbo,2023-09-13T00:46:10Z,Narkoba hasil penangkapan harus di bakar disaksikan seluruh rakyat Indonesia... karena heran aja narkoba kok tetap banyak yg pake ga abis2
739,Gracia,2023-09-16T01:32:35Z,"Awal serius nontonnya, begitu polisi thailand ngomong ketawa ngakak gw hahaha"
740,Antono 54,2023-09-13T00:09:51Z,"Awas BB jgn bocor dijual aparat, hrs diamankan dg sebaik2nya"
741,Abdul Ganj,2023-09-19T18:18:53Z,Jaringan narkoba terbesar di indonesia.asal darima .uwang sebanjak 10.terlyun dariasal uwang itu darimana .bisa citak sediri ada paberik mesinsediri.tolong cek dulu apa hasil yuwal narkoba. Oke
742,Wawan Hermawan,2023-09-14T03:17:37Z,Ambeh jera di hukum paeh kuduna mah..
743,Hariyo Looeso,2023-09-12T23:43:55Z,Hukum seberat2nya...ini bukan skdar bisnis...tp trmasuk jaringan perusak bngsa/PENJAJAH ERA sekarang...GALI LUBANG sampai akar2nya....siapapun BEEKING nyaaa...mski ada dikepala sndiri...
744,Heri Asma,2023-09-13T00:52:21Z,Pastinya selama ini ada kerja sama yang baik sehingga aman 2 saja !
745,kus yuda,2023-09-13T01:47:04Z,"Pa Kapolri tolong usut juga penipuan berkedok onlen modus apa saja makin hari makin meresahkan .korban bnyk trmasuk sodara juga kena ,,mohon diperhatikan pa🙏🙏 tak lupa saya mengapresiasi kinerja seluruh jajaran polri .salut trhdap kinerjanya makin solid👍"
746,sunan jogo kali gatot suwignyo,2023-09-19T09:20:24Z,Keren Polri hukum mati mereka pwnghacur generasi NKRI
747,Jhony Rsct,2023-09-16T17:27:03Z,Sudah jadi rahasia umum barang bukti narkoboy kembali diperjual belikan kembali oleh pihak polisi terutama BNN
748,Ngadimin Kudus,2023-09-14T14:12:22Z,penghancur generasi bangsa❤❤
749,okay bos,2023-09-13T05:10:32Z,ini pasti ada yg main mata.. ndak munhkin ssmpai sebesar ini.. berati sistem deteksi dini tidak berfungsi
750,bambang sutopo,2023-09-18T23:59:44Z,Bagusnya di dor aja  prmbisnis narkoba ini karena merusak bangsa kita
751,Nov,2023-09-19T11:37:20Z,"Aparat negara nya pasti ada itu...<br>Makanya kuat main nya sampai 10T...<br>Kejar aparat nya,,jangan cuma bawahnya aja yg di tangkap🙏🙏"
752,Abdul Hasim,2023-09-18T15:18:54Z,"anjay duit nya gede, pasti nilep"
753,"ADI SE, SH",2023-09-13T00:57:34Z,Hukum mati
754,Agus Fauzi,2023-09-13T07:54:07Z,Cair&#39;kan... bagikan kepada rakyat Indonesia yang tidak mampu 👍👍👍
755,Perjalanan Cahaya,2023-09-16T13:01:15Z,Knp di zaman Jokowi narkoba dan judi marak !!!
756,Ujang Ragil,2023-09-17T10:50:31Z,Indonesia bukan kaleng kaleng
757,ahmad subandi,2023-09-19T02:42:21Z,"Tmvak mati ,,banyak generasi rusak lihat negara lain yg maju ,,undang² buang yg sifatnya kasihan berani berbuat Bernai menerima resiko akibatnya,,omnibuslow penghianat bangsa"
758,wahyuni Ayu,2023-09-13T03:06:03Z,Hukum mati tersangka
759,Toga Raja Manurung,2023-09-20T10:55:46Z,Palingan barbut di tukar dengan tawas lalu barbut nya di edarkan kembali<br>Saya tidak akan pernah percaya kalau barbut di musnahkan
760,Nurhi II,2023-09-16T08:54:03Z,Ya Alloh hamba memohon apapun kejahatan yg merugikan negara semoga semuanya bs terungkap dan di hukum setimpal
761,imran,2023-09-16T12:52:09Z,Utk penanganan bandar narkoba kt tiru presiden Philipina jgn hiraukan isu HAM utk kasus ini krn narkoba bikin rusak generasi muda.....
