nomor,nama_akun,tanggal_komentar,komentar
44,Al Muir,2023-09-13T01:30:04Z,Kejujuran sudah mulai nampak dari petugas lapangan.
45,Kalangi Tomi Simon drakel,2023-09-13T00:42:17Z,Jgn  senang.  Karna  narkoba tidak jauh dari keterkaitan. Dgn kejaksaan hakim dan polisi. Pasti ada  yg terlibat  tidak mungkin tidak.  Dimana ada makanN. Pasti ada tikus.
46,Anwar Anwar,2023-09-13T03:38:42Z,Jokowi  kamu itu jangan lah anies  di  k.p.k.kan  tapi kamu lah yang harus diperiksa oleh k.p. k.  Kepada bpk listiyo  sigit  agar jokowi  segrra  diperiksa   atas segala kebohongan nya
47,Adira Azzahara,2023-09-15T10:09:35Z,hukum seberat beratnya aparat ini
48,Susi Sumarni,2023-09-13T00:51:09Z,"Sita sampai habis harta Dan asetnya supaya tiada MODAL LAGI, dan hukum mati langsung semuanya biar beri efek jera kpd PELAKU/PENGEDAR LAINNYA.. kalau masih hukuman seumur hidup kemudian sbb Kelakuan baik trs Di beri REMISI tdk akan habis JERA PENGEDAR SABU DINEGERI KITA.."
49,Entang Suryaman,2023-09-18T04:12:00Z,Hukum seberat2nya miskinkan mereka pelaku yg merusak moral bangsa
50,Febrian titan,2023-09-13T06:59:54Z,"kukira yg di tangkap bandar😂, btw 10 triliun kalo untuk jaringan internasional itu kecil 😂, tapi gamau suudzon ah takut 🤭"
51,Aman Marhaen,2023-09-15T07:37:02Z,Apresiasi buat aparat kita lanjut maju terus pembrantasan jaringan di NKRI tanpa pandang bulu apa pun . Merdeka
52,Agus Imron Rosyidi (AIR),2023-09-14T06:58:48Z,"Tanpa perlindungan n backing pejabat &amp; aparat, tidak mgkn mereka berani bisnis.....🏹👍✍️✍️✍️💪👹👿🗡️"
53,Hanif Sidiq,2023-09-13T09:33:06Z,Njirr tiba tiba segede itu??????!!!
54,andere Maulana,2023-09-13T16:27:04Z,"Udah gx heran oknum aparat yg membekingi narkoba , judi dll.<br><br> Udh mnjadi rahasia umum pra oknum aparat yg bermain dg pra mafia"
55,Garut Ruwet,2023-09-13T12:32:10Z,Hukum mati
56,muis aditama,2023-09-13T09:05:16Z,"Korups, i pungli,  makelar kasus, narkoba judi dimana mana"
57,Bintang Aria,2023-09-16T10:20:23Z,Knp Bru d bongkar skrg..yg bhkn judi online pun gembong ny msh berkeliaran
58,Tunkor123,2023-09-13T03:47:07Z,Korupsi jg d sita asetnya smpai miskin
59,sardan Saputro,2023-09-13T00:06:53Z,Jgn pakai lama. Lesung proses hukuman tembak di laksanakan. Bru ada Jera penerusnya.
60,Salman2 Coy,2023-09-15T18:20:31Z,"Orang dalam terlibat pejabat2 terlibat,hukuman matilah yang tepat buat perusak generasi bangsa...."
61,Euis Dedeh Rahayu,2023-09-13T11:07:09Z,dalangnya orang sipit...
62,Dewi Barokah,2023-09-15T08:18:32Z,Sagt tdk mungkin brg hram tu bs masuk ke negri in atw bs bkn prusahaan didlm kl tdk ad bekingan dri oknum yg berpangkt tinggi..kapolri hrus lbih pro aktif dlm mylidiki brg&quot;trlarang..byang rusakx bagsa tu  narkoba n koropsi..hukumn hrus mti..
63,Ayu Tsutsui,2023-09-15T22:52:10Z,Uang tunai nya bisa buat bayar hutang negara tuh. Para pelakunya hukum mati saja jangan kasih keringan hukum…semangat pak polisi🙏💪💪💪🙏
64,Fitri Rengganis,2023-09-16T05:04:21Z,"Barang Buktinya harus diambil negara, masyarakat, media Dan Kam harus kawa barang bukti.. Jgn sampai Di ciri oleh oknum2 tertentu"
65,Boooooooo,2023-09-13T22:41:41Z,uangnya di apain yah.. di bagi2 aj ke orang2 miskin ..jangan di musnahin apalagi di tilep
66,Mey Huma,2023-09-12T22:47:06Z,Kami Masyarakat KECIL melihat HANCURNYA TAHTAH KRAMA DI KALANGAN GENERASI SAMAN INI DIBUMI TERCINTA DI KARENAKAN ADANYA PEREDARAN &quot; N  A  R  K  O  B  A &quot; Dapatkah diBrantas untuk MENYELAMATKAN GENERASI MASA KINI......?
67,ALFA OMEGA TV,2023-09-13T00:11:36Z,"Xixixixixi Presiden baru ngomong udah ada yang ketangkep, ini skenario dari para petinggi P*<b>*</b> bisa juga, langsung di tangkep aja sebelum yang lain nangkep, gitu aja di persulit xixixixi"
68,Asoy Jaya,2023-09-13T23:44:34Z,Uang nya d kemnain itu😅😅..
69,Karang Taruna Tlogorejo,2023-09-15T22:34:55Z,Mungkin masih satu lingkaran sama irjen itu😅
70,Warungjasa Kampus,2023-09-13T02:10:40Z,ini mah udah sah semua nya di hukum mati <br>Udah bawa aja langsung ke nusa kambangan
71,Miftaah Fauzi,2023-09-13T02:30:01Z,escobar kearifan lokal
72,elysabeth wijaya,2023-09-13T18:15:11Z,Terima Kasih Bapak Bapak Polisi 👏👏👏👏👏 Puji Tuhan
73,Dwi Lucky,2023-09-16T08:21:30Z,Aset di apain tu ya di kembalikan apa di bagi bagi?
74,gustaf Ommy,2023-09-13T00:31:57Z,Dari dulu sudah ungkap kasus narkoba terbesar2 trus.. yg anehnya gak berkurang2 narkoba yg beredar di kalangan masyarakat.. 🤔🤔🤔
75,Ong ol,2023-09-14T18:18:58Z,Itu uang asli apa palsu?
76,Pak Broto,2023-09-18T03:10:06Z,Harusnya barang buktinya langsung di bakar ( narkoba )... dan orang&quot; nya langsung di di kafani. Itu baru membranntas narkoba dan stop peredaranya. <br>Kalau msh di proses.... 😂😂😂senyumi sajaa.
77,bambang sugiono,2023-09-13T08:14:51Z,Tetap kepalanya lolos.
78,mbah Dawer,2023-09-13T05:31:28Z,"predi pratama tu apanya ya dengan almarhom predi budiman, gembong narkoba yg di hukom mati di nusa kambangan, 🇮🇩🇮🇩 👍👍🇮🇩🇮🇩polri"
79,Saharudin hj Awang,2023-09-18T09:19:32Z,Musuh nombor satu.. korupsi dan narkoba.hancur nya negara kerana korupsi musnah nya anak bangsa kerana narkoba..
80,bubble death official🦡,2023-09-13T03:41:41Z,edan 10t bos ngalahin yg di film film
81,MR Soto,2023-09-13T01:16:43Z,Nanti uang dan aset-aset nya dikemanain pak??
82,Mellia Destriyani,2023-09-13T05:55:06Z,"Pelaku nya siapa ? Apakah dalang atau otak nya udh tertangkap ? <br>Ayo buka identitas si pelaku,biar rakyat tau pelaku ini kurir nya apa otak nya"
83,RM Chanel,2023-09-13T06:44:44Z,Apresiasi untuk institusi polri sih ...knp barang itu masih ada terus dan ga abis&quot; ...Simpel jawaban nya..karena ada apart yang masih bermain di dlm nya😂😂😂😂
84,Alansyah Nadja,2023-09-14T15:53:40Z,"Mana besar mslah sambo dngn narkoba,klau sy kluarga yg di bunuh sambo hmmm psti sdh cari klaurganya sambo sy bunuh jga."
85,Subhan Speed,2023-09-19T02:54:33Z,"Pokoknya narkoba ,korupsi,pembunuhan berencana udah jelas gk ada tawar menawar Hukuman Mati yang benarnya ."
86,Coy Black,2023-09-13T08:31:21Z,"Uwooouw, mantap."
87,The Pumpkink,2023-09-13T01:01:50Z,Tp kalau kapolda kplri kalimantan saya yakin bnyk yg jujur karna luar biasa sudah mengukap narkoba sebesar ini sepajang sejarah paling besar 10 triliunan kerennnn bngttt bapak 🤲🤲🤲🤗🤗😘😘😄
88,Luska Project,2023-09-13T02:05:15Z,kalau dibilang 10 trilyun itu artinya 100 trilyun aslinya
89,Biasa Aja,2023-09-13T09:06:48Z,Waduh masa sih...
90,partogi hutapea,2023-09-13T05:07:01Z,Kenapa media harus memblow up nilainya? Ini lah yang menyebabkan banyak yang tergiur bisnis haram ini.
91,Rimba Hardjianto,2023-09-13T04:49:11Z,"Benar sekali bpak polisi yg terhormat, berantas, harus dimiskin kan, di habiskan jaringan nya, 🙏"
92,Castoman,2023-09-12T23:13:43Z,Telusuri backingannya juga
93,adrian adri,2023-09-16T01:56:35Z,"Hukum mati para perusak generasi, sekarang anak SD pun sdh jadi kurir barang haram ini"
94,Muhamad Ntt,2023-09-18T03:29:54Z,Hukum mati para pelakunya...
95,Akbeni Rahmat,2023-09-18T06:05:53Z,Kumpulkan uangnya untukbayar utang ke cina jd tdk membeban kan rakyat kita
96,daniel lisu,2023-09-18T01:33:43Z,Semua bisa terjadi krna ada oknum penegak hukum yg melindungi
97,pangeran bertopeng,2023-09-17T14:21:58Z,"inimah segelintir, kalian gatau aja dalang yang ngejaga bisinis ginian🤣🤣🤣"
98,Rid Wan,2023-09-13T03:00:03Z,"Tembak mati saja, penduduk indonesia sangat banyak.. kurangi sedikit orang2 yang buat rugi"
99,Sarji toren Raja toren ,2023-09-16T04:30:41Z,Feeling saya mah ADA OKNUM POLISI YANG INGIN NAIK JABATAN
100,yati narti,2023-09-15T11:00:23Z,dikampung kampung anak kecil pun sdh tau barang dazal itu
101,O.o Ody,2023-09-13T01:59:45Z,"Good job untuk kepolisian Indonesia, yang penting BB nya  jangan ditilep kaya t3dd! 😅 ."
102,Joko Rismanto,2023-09-13T05:37:01Z,Itu duit disumbangkan untuk fakir miskin atau bikin lapangan kerja.... jangan di korupsi donggg....
103,Rislan Usman,2023-09-18T22:38:33Z,PALING JUGA DALAM PENJARA ITU HIDUPX MEWAH TANPA KEKURANGAN APA APA INI CUMAN MEMPERLIHATKAN KEMASARAKAT LUAS BAHWA MEREKA SUDAH DITANGKAP
104,Panji Mahesa,2023-09-13T02:43:04Z,Iya lah daripada culik orang bunuh orang macam di mexico 😮
105,Bones,2023-09-17T10:32:58Z,Bekinganya dicari juga donf
106,Heri Supriyadi,2023-09-17T11:04:07Z,DIINDONESIA PEREDARAN NARKOBA ENGGAK HABIS HABISNYA.....KALAU APARAT HUKUMNYA TIDAK BERSIH...IBARAT PEMADAM KEBAKARAN PADAM DISINI TIMBUL LAGI DITEMPAT LAIN....BUKAN RAHASIA UMUM LAGI.
107,Suneti Neti,2023-09-13T02:45:43Z,"😂yang di jaga ,akhirnya penjaga nya ausss"
108,Gilbert Lam,2023-09-18T01:57:16Z,Jgn2 sohib teddy minahasa😂😊😁😀☺💴💵💶💴💵💶💸💰👎👺👹👺👹
109,sigit dwi cahyono,2023-09-13T04:58:58Z,Trus kpn exekusi di hadapan regu tembak nya ....😅😂 klu bs di hadapan umum biar jera....jgn kelamaan sidang saat sudah ditangkap
110,Ambarawa 1 Cell,2023-09-13T06:51:05Z,Harus hukuman mati bandar narkoba dan koropsi penyakit masyarakat harus di brantas sampai ke akar akarnya demi kemajuan negara
111,Mistomo Gresik,2023-09-14T08:43:31Z,"S 777 tindakan polisi yang tegas ,di miskinkan pengedar narkoba . Polisi semakin sukses membawa tugas .salam NKRI"
112,nikita willy,2023-09-13T01:44:57Z,"hebat jaman jokowi, narkoba, korupsi, gusur hahhaaa"
113,RN Channel,2023-09-15T12:44:40Z,"Yong si takap, lakapet tong kap tong sakapat lengkap"
114,Syafrudin Yusuf,2023-09-13T08:45:02Z,Walau terta gkap dan bukti lengksp para ai humu td mampu hukum mati para pelamu narko
115,YourCoffe,2023-09-18T03:25:50Z,Logout dari server bumi sih harusnya ini
