nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
2410,@andibenotchannel3427,2023-09-16T06:08:23Z,"Nggak heran, tak serius brantas narkoba aparatur negara ini. Contoh didaerah saya masih banyaknya bandar narkoboi berkeliaran dan ladusing santai santai, jgn jgn mereka tau tapi teman kali ya🤣🤣🤣🤣setoran lancar kali 🤣🤣",nggak heran serius berantas narkoba aparatur negara contoh daerah banyak bandar narkoboi liar ladusing santai santai jangan jangan tau teman setor lancar
835,@andraofficial7182,2023-09-17T08:49:27Z,"boss narkoba tuh pasti di backing sama aparat / orang pemerintah 😂 Kalau yg ketangkep gitu pasti cuma bandar biasa yg cuma dijadiin tumbal, Udah bukan rahasia umum lagi sih kalau ini",boss narkoba backing aparat perintah ketangkep gitu bandar dijadiin tumbal sudah rahasia umum
2017,@Raja-ly1ve,2023-09-13T04:36:26Z,"Trimakasih luarbiasa Prestasi Mabes Polri, dalam kssus Penangkapan  Bandar Nafkoba. International. Sebagaimasuksn pada Bapsk Kapolri bagaimana upaya Kepolisian RI dan BNN, untuk menciptsksn Masyarakat Indonesia tidak dspst membeli barang Narkoba. Sehingga seluruh masyarakat indonesis. Tidak dapat mempetoleh Nafkoba untuk dikonsumsi untuk digunakan.",trimakasih luarbiasa prestasi mabes polri kssus tangkap bandar nafkoba international sebagaimasuksn bapsk kapolri upaya polisi bnn menciptsksn masyarakat indonesia dspst beli barang narkoba masyarakat indonesis toleh nafkoba konsumsi
2145,@kustowomartojiyo5299,2023-09-16T07:46:16Z,Pak kapolri mestinya dgn tegas hrs peringatkan anak buah nya dgn keras kalo smpe terlibat bisnis narkoba ancamannya hukum mati.... Mestinya hrs begitu,kapolri mesti dengan hrs ingat anak buah dengan keras sampai libat bisnis narkoba ancam hukum mati mesti hrs
256,@m_arizky2826,2023-09-16T00:49:23Z,"Ditangkap pun <b>TIADA GUNA</b><br>paling beberapa bulan/tahun keluar lagi, jadi pengedar lg 😂<br>Kalaupun tidak keluar, paling mengedarkan dari penjara, sudah jadi rahasia umum, penangkapan pelaku hanya memperbesar jaringan saja.<br>Penjara setidaknya harus menghasilkan 2 point :<br>- membuat para pelaku <b>TAUBAT</b><br>- <b>HUKUMAN MATI</b><br>  baru bisa Negeri ini bersih dr narkoboy,",tangkap tiada gunapaling tahun peedar lagi meedarkan penjara rahasia umum tangkap laku besar jaring penjara hasil point laku taubat hukum mati negeri bersih narkoba
2014,@salmanjawi3854,2023-09-13T04:39:17Z,"Sindikat 10,5 Triliun😱? Mana suaranya yg teriak²: habaib, arab yaman, antek² penjajah, budak yaman? 🤬🤬🤬",sindikat triliun suara teriak habaib arab yaman antek jajah budak yaman
2391,@wawanamha7932,2023-09-13T02:35:57Z,Apa kabarnya tedi Minahasa. selagi ada yang mempasilitasi celah masuk narkoba dari ngr asing. jangan harap NKRI Ter bebas dari narkoba. Hukum mati pemasok.penerima.pengedar. perusak moral.akhlak.anak bangsa. Rusaknya Moral akhlak. Ulahnya orang orang yang serakah gila harta lewat narkoba. Sita pula miskin kan orang orang yang ikut membantu masuknya narkoba ke NKRI.,kabar tedi minahasa selagi mempasilitasi celah narkoba ngr asing harap nkri ter bebas narkoba hukum mati pasok terima peedar usak moral akhlak anak bangsa rusak moral akhlak ulah serakah gila harta narkoba sita miskin bantu masuk narkoba nkri
1108,@qiandraselvina9081,2023-09-13T01:50:13Z,Bikin was was karna aku sendiri punya anak laki laki 2 udah remaja yang aku hawatirkan pergaulan bebas dan narkoba 😢😢posisi aku lagi kerja di Taiwan susah memantau anak anak ..😭😭😭,bikin was was karena anak laki laki sudah remaja hawatirkan gaul bebas narkoba posisi taiwan susah pantau anak anak
92,@bennylukman5863,2023-09-13T12:11:34Z,Kelewat  kaya raya  karna bing ung gunakan uang terlalu bznyak utk apa  dan tfk kenal msh banyak  bangsa INDONESIA yg di bantu mkn  dan sejahtra nya  jln2 rusak di kampung2  utk jln   pangan dan ke rumah sakit saat ibu2 hamil  dan banyak lagi yg kurang mkn  apa tdk sebaik nya  brikan pd bangsa yg butuh  pemerataan asli  terwujut,lewat kaya raya karena bing ung uang bznyak untuk tfk kenal bangsa indonesia bantu mkn sejahtra jln rusak kampung untuk jln pangan rumah sakit ibu hamil mkn tidak brikan bangsa butuh perata asli terwujut
1356,@gemigemi983,2023-09-13T02:12:19Z,Kasus bermula di tangkap kurir warga malaysia 2 orang lalu polis malaysia bekerjasama dgn indonesia dab thailand jaribgan internasional,tangkap kurir warga malaysia polis malaysia bekerjasama dengan indonesia dab thailand jaribgan internasional
