nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
5,Warsito Toto02,2023-09-13T00:51:43Z,Ketika negara2 asing mengetatkan hukuman mk barang haram tsb mengalir ke negri ini dg anggapan masyarakatnya potensial dan hukuman bs dinego lewat oknum.,negara asing ketat hukum barang haram sebut alir negri dengan anggap masyarakat potensial hukum tawar oknum
11,Den Bagoes,2023-09-13T18:11:19Z,"Yang ditunggup proses hukum yg sesungguhnya yaitu dengan menghikum pelaku yg seberat beratnya.<br>Jangan ada lagi dihukum hanya dengan hukuman Rehabiltasi, ini<br>hukuman yg memuak kan.",ditunggup proses hukum sungguh hukum laku berat berat hukum hukum rehabiltasi inihukuman muak
12,mahmud hidayat,2023-09-18T03:58:13Z,"Alhamdulillah polisi kita dapat menangkap gembongan narkoba dan menyita asetnya sungguh suatu prestasi polri  dan patut diapresiasi, selamat dan sukses Polri.",alhamdulillah polisi tangkap gembong narkoba sita aset sungguh prestasi polri patut apresiasi selamat sukses polri
