Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
1,Gading Fajar,2023-09-19T04:21:26Z,🎉Hukum Mati Harus Menjadi Prioritas Utama Bagi Mereka Yang Melakukan Perdagangan NARKOBA . Yang Nilanya Di Atas 10 Miliar.... MATI,hukum mati prioritas utama dagang narkoba nila  miliar mati
2,adenan ariff,2023-09-19T01:20:59Z,basa basi gaa sii tar juga di jual lagi trus kurirnya dia sndiri yg nangkep biar citranya naik aja,basa basi gaa sii tar jual terus kurir sndiri nangkep biar citra
3,Tara Junaidi,2023-09-15T06:14:45Z,"Yg paling heran kenapa didalam penjara masih bisa mengendalikan narkoba, jadiseolah olah penjara bukan efek jera tapi malah jd tmpt persembunyian yg paling aman",heran dalam penjara kendali narkoba jadiseolah olah penjara efek jera tmpt sembunyi aman
4,uminarti rokani,2023-09-15T08:55:33Z,"Korupsi ,narkoba gencar skli merusak bgsa kita 😢😢😢ya Allah ....lindungi bngsa kami ,anak2 kami....aamiin 🤲🤲🤲<br>Koruptor2 n bndar2 narkoba aplgi aparat yg mbekingi hrsnya stlh bnr2 trbukti tdk usah lama2 dpnjara ...lgsung digantung sj !!!! Nyatanya tdk dmkn ...mrka lamaaa dpnjara n mlah JD bandar dstu... yg bgtu masak polisi /pnjara tdk tahu ????😮😮😮😮TP ingaaat Allah TIDAK TIDUR !!! DIA TAHU.....!!!!",korupsi narkoba gencar skli rusak bgsa allah lindung bngsa anak aamiin koruptor bndar narkoba aplagi aparat mbekingi hrs stlh benar bukti tidak lama dpnjara lgsung gantung saja tidak dmkn mrka lamaaa dpnjara mlah bandar dstu begitu masak polisi pnjara tidak tapi ingaaat allah tidur
5,mikey 123,2023-09-16T01:24:29Z,Wah jangan tersangka nya j lh.yg di perlihatkan bukti narkoba nya di bakar juga  lh.ap jangan jangan di ambil yg berseragam terus di jual lagi kpda kepercayaan nya ( pengibus) lalu di edarkan lagi habis itu yg beli di tangkap wah negara konoha keren😅😅😅,sangka lh lihat bukti narkoba bakar lh ap ambil seragam jual kpda percaya ibus edar habis beli tangkap negara konoha keren
6,Ivan Ruslianto,2023-09-13T22:32:26Z,"Halah sambo aja bebas😅😅😅 masak ini hukum mati , ga adill dong .. hukum seumur hidup aja jangan hukum mati wkwkwkw",halah sambo bebas masak hukum mati tidak adill hukum umur hidup hukum mati
7,Imam Wahyudi,2023-09-13T01:22:43Z,Narkoba gak bakalan hilang atau lenyap di NKRI tercinta ini klo para penegak hukumnya gak di tes urine semuanya tanpa terkecuali,narkoba gak hhilang lenyap nkri cinta kalau tegak hukum gak tes urine kecuali
8,Djumadi Tarmun,2023-09-26T11:44:18Z,kalao cuma di penjara begitu bebas berbuat lagi mereka tdk akan jera kecuali hukum mati baru yg jera,kalao penjara bebas buat tidak jera kecuali hukum mati jera
9,Spoiler Time,2023-09-13T00:09:12Z,"pertanyaan terbesar dalam benakku&quot; aset aset yang disita baik berupa bangunan, tanah, uang dan bentuk fisik berupa kendaraan dari kasus kasus di Indonesia baik kasus kriminal, suap, korupsi dan lain lain dialihkan kemana atau kemana perginya?",besar benak aset aset sita bangun tanah uang bentuk fisik kendara indonesia kriminal suap korupsi alih mana mana pergi
10,andere Maulana,2023-09-13T16:27:04Z,"Udah gx heran oknum aparat yg membekingi narkoba , judi dll.<br><br> Udh mnjadi rahasia umum pra oknum aparat yg bermain dg pra mafia",sudah gx heran ooknum aparat beking narkoba judi dll sudah menjadi rahasia pra ooknum aparat main dg pra mafia
11,Makads Makads,2023-09-12T23:26:15Z,Apapun yg dilakukan polisi saat ini..sy kurang begitu yakin percaya...karena polisi saat ini banyak melakukan rekayasa dan penipuan..lihat kasus sambo.,apa polisi saya percaya polisi rekayasa tipu sambo
12,Dfo Tambunan,2023-09-15T06:49:40Z,"...dari dulu polri hanya bisa membongkar dan menangkap komplotan perdagangan narkoba, namun tidak pernah bisa mencegah masuknya narkoba ke Indonesia... mengapa...???",polri bongkar tangkap komplot dagang narkoba cegah masuk narkoba indonesia
13,Valentinus Valen,2023-09-18T08:00:30Z,"Klu bisa barang buktinya sabu2 tu narkoba tolong di bakar, biar tdk bisa  di jual kembali🙏🙏",kalau barang bukti sabu narkoba tolong bakar biar tidak jual
14,Sri Widji Astuti,2023-09-12T22:54:23Z,Alhamdulillah semoga mereka yg terlibat benar2 diberi sanksi hukum sesuai dengan profesi para patriot hukum yg sadar terhadap masa depan putra putri bangsa Indonesia❤,moga libat benar sanksi hukum sesuai profesi patriot hukum sadar putra putri bangsa indonesia
15,pj ginting,2023-09-13T06:52:06Z,Bravo polri..!!<br>Razia rutin  aparat ^ cukong/beking narkoba:<br>perlu diterapkan...!!,bravo polri razia rutin aparat cukong beking narkoba terap
16,Mas prabu Tanjung,2023-09-16T08:30:03Z,Selagi tindakan tegas di berlakukan dan pengawasan ketat  kepada angota oknum tni polri yg terlibat bisa menekan peredaran narkoba,selagi tindak laku awas ketat angota ooknum tni polri libat tekan edar narkoba
17,ABQORIE channel,2023-09-15T06:50:03Z,"Hebat y ,, jaringan narkoba internasional bisa d tangkap mabes polri,,, klo d jadikan KPK bagus itu,,, tolong pak jokowi printahkan mabes polri untuk memberantas jaringan korupsi yg sdh menjamur d negara ini...",hebat jaring narkoba internasional tangkap mabes polri kalau jadi kpk bagus tolong jokowi printahkan mabes polri berantas jaring korupsi sudah jamur negara
18,Herman Nurdin,2023-09-12T22:54:56Z,"Kepolisian Republik Indonesia,walau tak luput dari kekurangan nya.Namun banyak sekali hasil perjuangan nya yang menyumbangkan hasil kenegara,salut nya angota²bukkam satu suara.tidak koar² perperson.Mantab",polisi republik indonesia luput kurang hasil juang sumbang hasil negara salut angotabukkam suara koar person mantab
19,Benny Lukman,2023-09-13T12:13:53Z,Sedih nya negri ku ini  bikin  hukum nya msh bergihak pd bandsr narkoba  tdk wujud kan  hukuman   mati bagi pengedar   bandar2   nya  ini salah satu kelemahsn negara kita😂😂😂    yg tdk akan  bisa tereujud    keamanan generasi muda kita😂😂😂😂,sedih negri ku bikin hukum bergihak pd bandsr narkoba tidak wujud hukum mati edar bandar salah kelemahsn negara tidak tereujud aman generasi muda
20,Hendi sh,2023-09-17T00:22:38Z,"Hancurkan barangnya jangan sampai lolos,hukum mati para pelaku biar putus tali rantai,,,",hancur barang lolos hukum mati laku biar putus tali rantai
21,Nanda Su,2023-09-13T03:33:20Z,"Buat anggota2 kepolisian yg berprestasi, seperti mereka2 ini harus di Apresiasi. Naikan pangkat dan berikan BONUS yg bersar.",anggota polisi prestasi mereka apresiasi naik pangkat bonus sar
22,Mujiono Le,2023-09-16T13:42:46Z,"Hukum mati aja bandar narkoba ,dan juga beking bandar ,dan pengedar hukum mati yg pantas buat mereka karena mereka pembunuh masal secara perlahan,LBH kejam dari PKI hukuman mati buat bandar ,,beking ,pengedar",hukum mati bandar narkoba beking bandar edar hukum mati bunuh masal perlahan lbh kejam pki hukum mati bandar beking edar
23,Heri Amprulloh,2023-09-13T14:42:20Z,"Pastilah ada campur tangan oknum di belakangnya,kalo gak ada bekingan petinggi di belakangnya gak masuk akal.mana bisa barang segitu banyak jg uang dg jumlah besar berputar keluar masuk lur negri-indonesia jg seluruh kota&quot; di indonesia bisa terbang dengan aman jg dengan bebasnya...Semoga terungkap semua manusia&quot; yg ada di belakang mereka,jg mudah&quot;an penegak hukum berani menindak bekingan di belakang mereka.kalo bekingan cm sopir becak/sopir taxi gak mungkinlah......",campur tangan ooknum belakang kalau gak beking petinggi belakang gak akal barang segitu juga uang dg putar lur negri indonesia juga kota indonesia terbang aman juga bebas moga ungkap manusia juga mudah tegak hukum berani tindak beking kalau beking cm sopir becak sopir taxi gak mungkin
24,M Reza,2023-09-13T14:07:01Z,"Sambo ditangkap, mafia mafia pada kebongkar.. mantap Polisi Indonesia",sambo tangkap mafia mafia bongkar mantap polisi indonesia
25,Didik Prabowo,2023-09-12T22:15:58Z,"Hukuman mati harus di tegakkan,,,hakim2nya harus di didik supaya menolak suap,,,dan semua aparat harus cinta tanah air,,,bukan cinta bandar narkoba,,,,bila di biarkan,,,puluhan ton yg akan di pasok ke indonesia",hukum mati tegak  didik tolak suap aparat cinta tanah air cinta bandar narkoba biar puluh pasok indonesia
26,kampussulap,2023-09-16T13:28:18Z,10 T tentukan <br>Uang 10t mana uangnya Cok kocak, tentu uang   uang cok kocak
27,Viathrue Afends Gaming,2023-09-15T19:18:07Z,Harta duit properti disita trs duit sitaan di kemana in ? 😅,harta duit properti sita trs duit sita mana
28,wayan sutama,2023-09-13T00:39:15Z,"Mantap,BRAVO POLRI.Smg kdpn jual Bli NARKOBA bs d Brantas. 👍👍🙏🙏",mantap bravo polri smg kdpn jual bli narkoba berantas
29,harry satria azza,2023-09-13T08:49:29Z,Yg jd jaringan narkoba termasuk polisi😂😂😂 bubarin aja polisinya ganti ma Hansip dijamin kinerja Hansip lbh gacor😅😅😅,jaring narkoba polisi bubarin polisi ganti hansip jamin kerja hansip lbh gacor
30,cocosamp,2023-09-13T00:28:37Z,"Nah ini baru kerjanyata, preses sesuai UU yg berlaku, dan para anggota polisinya Wajib mendapatkan Penghargaan dan bonus yg tinggi untuk kerja nyata spt ini supaya makin semangat membasmi kejahatan di negri ini 🤲🤲🤲",kerjanyata preses sesuai uu laku anggota polisi wajib harga bonus semangat basmi jahat negri
31,cakgalung88,2023-09-18T07:52:00Z,"Itu semua ngak jauh dari tangan&quot; oknum aparat yg melindungi mereka, terutama bidang maritim perbatasan negara👍🏻",ngak tangan ooknum aparat lindung bidang maritim batas negara
32,Restulah,2023-09-15T10:37:38Z,Masyakat ingin tau narkoba yg disita di bakar secara live streaming pak polisi. Mohon segera di laksanakan untuk narkoba yg di sita di bakar di depan masyarakat. Terimakasih saran dari saya,masayakat tau narkoba sita bakar live streaming polisi laksana narkoba sita bakar masayarakat terimakasih saran
33,Fitri Rengganis,2023-09-16T05:04:21Z,"Barang Buktinya harus diambil negara, masyarakat, media Dan Kam harus kawa barang bukti.. Jgn sampai Di ciri oleh oknum2 tertentu",barang bukti ambil negara masayarakat media kam kawa barang bukti jangan ciri ooknum
34,Red Me,2023-09-12T22:28:42Z,Udah muakkkk mau comment mafianya disitu semua mau baju apa dipakainya semuanya sama aja lama2 mau Dari luar negeri atau pun warga ngak kira dinegara mana juga dah mulai muakkkk tengok berita Indonesia nanti hujung2 polisi dalang nya hujung2 mafianya kayak kasus teddy minahasa hujung2 polisi juga alaaaa udah tv one ngak usah dnaikkan lah buat jadi dosa aja kalau dkritik ...,sudah muakkkk comment mafia situ baju pakai lama negeri warga ngak negara muakkkk tengok berita indonesia hujung polisi dalang hujung mafia kayak teddy minahasa hujung polisi alaaaa sudah tv one ngak dnaikkan dosa dkritik
35,Telik seran Maymuna,2023-09-13T22:21:45Z,"Coba polisi juga selidiki dipapua ditempat kita banyak anak&quot; mudanya yg jarang tidur dan mereka beribut hampir mau pagi,tdk tau apa yg dilakukan karena banyak ortunya masa bodoh dan seperti pembiaran begitu juga rt nya bahkan anak&quot; nya rt ini jarang tidur begadang terus,kita di kotaraja dalm gg dihe dua abepura papua jayapura,tolong pakpol selidiki jangan&quot;mungkin ada perputaran narkoba juga.",coba polisi selidik dipapua tempat anak muda jarang tidur ribut pagi tidak tau ortu bodoh biar rt anak rt jarang tidur begadang kotaraja dalm gg dihe abepura papua jayapura tolong pakpol selidik putar narkoba
36,Guru adalah Ninja,2023-09-13T08:22:14Z,"Bisa aman damai selama ini di Barito utara, tolong di telusuri beking nya pak Bos",aman damai barito utara tolong telusur beking bos
37,urmila dewi,2023-09-16T07:40:56Z,"Anggota korps baju coklat banyak yang bermain ditempat ini karena ada ikan besar yang menggiurkan demi hidup, dan lupa sudah akan sumpah jabatan yang sudah dilakukan didepan Tuhan diatas kitab suci masing2, Tuhan aja dikhianati apalagi sesama manusia,sekarang Tuhan sdh membuka kebusukan, apalagi yang didustakan.",anggota korps baju coklat main tempat ikan giur hidup lupa sumpah jabat depan tuhan atas kitab suci masing tuhan khianat manusia tuhan sudah buka busuk dusta
38,yah Putri Aisyah Balqis,2023-09-13T13:56:05Z,Saya mewakili rakyat Indonesia yg berada di Malaysia .menghimbau agar seluruh yg terlibat perdagangan norkoba ini di jukum mati .,wakil rakyat indonesia malaysia menghimbau libat dagang norkoba jukum mati
39,DHEN PROBO CHANNEL,2023-09-16T13:20:32Z,Jgn lupa pak. Yg udah di penjara itu bnr2 diperketat jgn smpe dipenjara masih bisa transaksi narkoba.,jangan lupa sudah penjara benar ketat jangan sampai penjara transaksi narkoba
40,Sufri Naldi,2023-09-13T01:59:09Z,"Mohon izin pak polisi,kalau memusnahkan barang bukti wajib di siarkan langsung di tv nasional,baru mantap",izin polisi musnah barang bukti wajib siar tv nasional mantap
41,Harahap boy,2023-09-13T23:50:50Z,"Ko bisa terbongkar yah, apa ada kaitannya sma jendral yang terkena kasus pembunuhan berencana,  tidak ada lagi backing nya mungkin .",bongkar kait sma jendral kena bunuh rencana backing
42,Rose Jasmine,2023-09-13T04:02:55Z,"berdaya rusak brow, tak beda jauh dg bom naga saki",daya rusak brow beda dg bom naga saki
43,Putrii Nrh,2023-09-13T03:45:55Z,Ala ala... Rakyat  wes gak  percoyo hukom  nk wong  mesken  sala titik  lasong masok penjara  nk wong soge duwite akeh opo mane penjabat  sidange mbulet  gak mari mari,ala ala rakyat wes gak percoyo hukom nk mesken sala titik lasong masok penjara nk soge duwite akeh opo mane jabat sidange mbulet gak mari mari
44,Arman Karman,2023-09-13T02:23:06Z,Itu rasanya biasa tidaklah merupakan prestasi pantastis karena ini sudah menjadi tugasnya<br>Yang paling menydihkan adalah perampokan oleh investor terhadap hak hidup masyarakat rempang batam yang didukung oleh pejabat dan aparatur negara,prestasi pantastis tugasnyayang menydihkan ampo investor hak hidup masayarakat rempang batam dukung jabat aparatur negara
45,Lia,2023-09-18T07:45:59Z,"Alhamdulillah ya ALLAH,salam sehat para Pejabat ,Bpk2 P0LISI yang terkait ,buru terus Orang2 yang meruksak masa depan,Bangsa dan Negara,selamat Pak Kompak Selalu.",allah sehat jabat bpk  kait buru orang meruksak bangsa negara selamat kompak
46,Ciong Choirijah,2023-09-13T05:35:07Z,"MashaAllah Alhamdulillah, Bravo polisi NKRI, jasamu memberantas peredaran para bandar narkoba,  dan telah menyelamatkan jutaan generasi muda, insyaallah dibalas dengan pahala berlimpah limpah, selalu dilindungi oleh Allah SWT dalam bertugas... <br>Terimakasih Bpk Kapolri beserta jajaran yg menjaga generasi muda dari jeratan narkoba.. <br>Segera musnahkan narkoba yg telah ditemukan",mashaallah bravo polisi nkri jasa berantas edar bandar narkoba selamat juta generasi muda insayaallah balas pahala limpah limpah lindung allah swt tugas terimakasih bpk kapolri serta jajar jaga generasi muda jerat narkoba musnah narkoba temu
47,Deman Huri,2023-09-13T00:11:55Z,Mengerikan selain korupsi yang merusak sendi-sendi masyarakat adalah Narkoba...karena sudah sampai ke desa2...,keri korupsi rusak sendi sendi masayarakat narkoba desa
48,su yadi,2023-09-13T00:25:25Z,Bapak Kapolri .bapak panglima ..bapak kasad ..3 Matra..dan bapak kabariskrim.dan ulama..sudah waktunya turun tangan untuk menyelamatkan generasi muda Indonesia ..ini sudah urgen kenyataan ini bisa di buktikan dengan jualan di lapas..seorang di hukum masih bisa jualan narkoba di dalam lapas..sungguh naif .pejabat lapas ..terserah pemerintah para bandar dan pemakai ..apakah di rehabilitasi dan pongobatan gratis..agar mereka selamat dari narkoba..kasian mereka..semoga usul ini di tindak lanjuti para pemimpin..kita aamiin...,kapolri panglima kasad  matra kabariskrim ulama turun tangan selamat generasi muda indonesia urgen nyata bukti jual lapas hukum jual narkoba lapas sungguh naif jabat lapas serah perintah bandar pakai rehabilitasi pongobatan gratis selamat narkoba kasi moga usul tindak lanjut pimpin aamiin
49,Asman Ali,2023-09-18T23:55:05Z,Brang bktiy hrus d musnakan dn brng bkti brupa uang hrus d msukan k kas negara,barang bktiy hrus musnakan dan brng bkti brupa uang hrus masukan kas negara
50,ATFA CHANNEL,2023-09-18T14:47:09Z,"Percumanya itu toh juga tangkapan dapat dijual.<br>Intinya pelaku org punya pengaruh dan pemegang hukum,tumbal adalah masyarakat bodoh dan anak-anak mereka yg bersekolah.",percuma tangkap jual inti laku orang pengaruh pegang hukum tumbal masayarakat bodoh anak anak sekolah
51,Anwar Anwar,2023-09-13T03:38:42Z,Jokowi  kamu itu jangan lah anies  di  k.p.k.kan  tapi kamu lah yang harus diperiksa oleh k.p. k.  Kepada bpk listiyo  sigit  agar jokowi  segrra  diperiksa   atas segala kebohongan nya,jokowi anies periksa bpk listiyo sigit jokowi segrra periksa bohong
52,Ida K,2023-09-13T04:47:19Z,"Barang bukti musnahkan jangan dibagi bagi yaaaa pak polisi, harus amanah. Penemuan yg menggiurkan.",barang bukti musnah bagi yaaaa polisi amanah temu giur
53,Imam Budi,2023-09-18T00:07:27Z,klo negri ini mo aman terlepas dari narkoba ya pelakunya DIHUKUM MATI termasuk yg mem BACK UP dihukum   MATI termasuk KORUPTOR2 yg ada di negri ini adili dan langsung vonis hukuman MATI ...            ❤❤❤❤❤ INDONESIA,kalau negri mau aman lepas narkoba laku hukum mati mem back hukum mati koruptor negri adil vonis hukum mati indonesia
54,Solahudin Hz,2023-09-12T23:17:04Z,"Semoga meteka yg di tangkap di hukum Mati, lalu dlm wkt berjalan Hukum Nya di Discount,  jd seumur Hidup, kmudian di anggap berklakuan baik. Lalu di Diacount lg hukuman nya. Dan akhir ny bebas kyk si Rambo",moga meteka tangkap hukum mati dalam wkt jalan hukum discount umur hidup kmudian anggap berklakuan diacount lagi hukum bebas kyk rambo
55,Mila Karmila,2023-09-13T03:07:25Z,Manusia spt ini d hukum mati saja !! Ga akan kapok kalo ttp hidup !! Tegas lah RI !!,manusia hukum mati tidak kapok kalau ttapi hidup ri
56,"Subagyo yang mau merubah pancasila siapa coba,apa gak sadar apa,",2023-09-13T00:41:43Z,"Halah paling2 nnti hukuman ringan,coba di hukum mati berani tdk kapolri,",halah paling nanti hukum ringan coba hukum mati berani tidak kapolri
57,gustaf Ommy,2023-09-13T00:31:57Z,Dari dulu sudah ungkap kasus narkoba terbesar2 trus.. yg anehnya gak berkurang2 narkoba yg beredar di kalangan masyarakat.. 🤔🤔🤔,narkoba besar terus aneh gak kurang narkoba edar kalang masayarakat
58,salmah sitisiah,2023-09-15T08:29:56Z,Ayo ramai kitadukung ceptlah terungkap semua sampai ke plosok desa jgn dbri ampon 😊😊😊😊,ayo ramai kitadukung ceptlah ungkap plosok desa jangan dbri ampon
59,Syaiful Maslul,2023-09-16T01:42:36Z,Kalau di hukum mati akan musna jika hanya di kurung akan berulah kembali jdi percuma saja kalau tidak di hukum mati,hukum mati musna kurung ulah jadi hukum mati
60,Riyoso   RI,2023-09-16T16:45:44Z,BNN harus tingkatkan lagi Gunakan Alat alat lebih Canggih Lagi Supaya dengan Cepat untuk Mengetahui Dari mana  Asal Narkoba dan kemana Perjalanannya harus dengan cepat Penangkapan nya,bnn tingkat alat alat canggih cepat narkoba mana jalan cepat tangkap
61,Madanto Realme,2023-09-13T00:55:20Z,"Di Rezim ini ..Bisnis Narkoba Tumbu suburr ,Makin Mereja lela ..Penegak Hukum Bnyk yg Trlibatt..m",rezim bisnis narkoba tumbu suburr reja lela tegak hukum banyak trliba
62,Ridho Ardiansyah,2023-09-15T22:39:00Z,rentenir jugak di berantas dong mohon maaf kalau kurang sopan karna cukup   sensara hidup makan2 terancam,rentenir jugak berantas maaf sopan karena sensara hidup makan ancam
63,Bianca Wijaya,2023-09-13T00:36:26Z,Berharap koruptor jg mendpt hukuman yg SM sprt bandar narkoba. Aamiin,harap koruptor juga mendpt hukum sprt bandar narkoba aamiin
64,Al-Mash,2023-09-13T01:51:08Z,"Di tunggu Eksekusi Matinya<br>tidak Mati, brti belum Profesional.<br>🤣🤣🤣<br>(Kelas Internasional lhoo.....)",tunggu eksekusi matinyatidak mati arti profesional kelas internasional lhoo
65,DEMIAN SUMBAR,2023-09-13T01:33:01Z,Beking nya di tangkap juga ngak pak? Biasanya ada bekingnya tuh..ngak mungkin jaringan narkoba bisa mempunyai aset begitu banyak kalo ngak ada yg mem bekingi..,beking tangkap ngak beking ngak jaring narkoba aset kalau ngak mem beking
66,Siswa Budi,2023-09-16T06:43:11Z,"Syukurlah, kalau polisi mau menangkap bandar besar narkoba. Biasanya yang setengah gram-an.<br>Biasanya yang besar punya backing.<br>Yang ini ditangkap, jangan-jangan ada yang tidak dapat jatah.",syukur polisi tangkap bandar narkoba gram backing tangkap jatah
67,Bambang Sumarsono,2023-09-18T06:19:17Z,JELAS MAFIA KORUPTOR DAN BANDAR NARKOBA SANGAT MUSUH NEGARA DAN SELURUH RAKYAT NKRI,mafia koruptor bandar narkoba musuh negara rakyat nkri
68,Taufiq Rahman,2023-09-13T07:37:13Z,"Nkri dihancurkan oleh pihak2 luar negri yg tdk suka nkri jd negara besar dan kust, mk itu pihak2  yg senang nkri hancur brrkeping2 ,<br>U iti pilpres intinya adalah hancurkan sarang2 narkoba termasuk beking2 pihak keamanan kita dan orang2 yg tdk bertanggung jawab 😂😢",nkri hancur pihak negri tidak suka nkri negara kust mk pihak senang nkri hancur brrkeping iti pilpres inti hancur sarang narkoba beking aman orang tidak tanggung
69,Salman2 Coy,2023-09-15T18:20:31Z,"Orang dalam terlibat pejabat2 terlibat,hukuman matilah yang tepat buat perusak generasi bangsa....",libat jabat libat hukum mati usak generasi bangsa
70,anakkampung,2023-09-19T05:52:30Z,Larisnya penjualan narkoba di Indonesia telah membuktikan bahwa orang Indonesia itu memiliki uang.,laris jual narkoba indonesia bukti indonesia milik uang
71,yustami yustami,2023-09-16T10:12:35Z,Bos narkoba peralatan yang lebih canggih dan ber ubah ubah  setiap waktu semakin dikejar makin meraja lela,bos narkoba alat canggih ber ubah ubah kejar raja lela
72,Robson Homs,2023-09-17T01:20:17Z,"Terima kasih pada pemerintah Thailand &amp; Malaysia ... 👏👏👏<br><br>Kapan saya bisa bekerja dengan layak di Indonesia ini?, supaya tidak menjadi orang orang seperti itu dikarenakan sulitnya mencari lapangan pekerjaan<br><br>Kebanggaan saya terhadap polisi terletak pada Kapolri pertama, itu yg saya hormati &amp; saya kagumi terhadap institusi Polri selama saya hidup, selain itu, semua Kapolri yg ada &amp; sebelumnya saya anggap sampah, bila seandainya dia tidak ada, mungkin nama Polri sudah tidak bisa terselamatkan lagi di Indonesia ini",terima kasih perintah thailand malaysia layak indonesia sulit cari lapang pekerjaankebanggaan polisi letak kapolri hormat kagum institusi polri hidup kapolri anggap sampah anda nama polri selamat indonesia
73,Sara Insaz,2023-09-21T12:26:21Z,"Pemerintah tdk pernah serius dlm memberantas narkoba, Seandai nya 0emerintaj itu serius kenapa tes urin tdk menjadi persyaratan dl dlm setiap masuk instansi atau pun sekolah pemerintah  ?????<br>Coba kalo di tangani kyk menangani covid 19 kemarin ku yakin narkoba tdk akan mampu merusak pemuda dan bangsa ini",perintah tidak serius dalam berantas narkoba anda emerintaj serius tes urin tidak sayarat dl dalam instansi sekolah perintah coba kalau tangan kyk tangan covid  kemarin ku narkoba tidak rusak pemuda bangsa
74,HYDN,2023-09-26T19:24:26Z,"Ada apa dengan nama nama Fredy ? Dari mulai Budiman ,Sambo ,dan skrg Pratama .. sampe kepikiran punya anak mau di namain Fredy Escobar :(",nama nama fredy budiman sambo sekarang pratama sampai pikir anak namain fredy escobar
75,gedabrul,2023-09-13T15:01:33Z,"Gimana kabar boss tedy minahasa ..... masa hukum nya cuma seumur hidup , parah juga tu orang",gimana kabar boss tedy minahasa hukum umur hidup parah
76,Galih Permadi,2023-09-16T12:20:53Z,Pasti ada oknum  yg Ter libat dlm peredaran barang haram tsb..,ooknum ter libat dalam edar barang haram tsb
77,Hello Day,2023-09-13T04:05:02Z,"Kalo narkoba yg ilegal, sulit dan beresiko besar mereka mereka bisa dapat 10T, kenapa nggak coba jualan cilok, bebek goreng atau seblak coba? Mereka kan pada pinter bisnis?",kalau narkoba ilegal sulit resiko   nggak coba jual cilok bebek goreng seblak coba pinter bisnis
78,Parman gopar,2023-09-13T00:48:49Z,"Semoga aparat hukum bisa tegas menindak kepada  aparat yg main utk memperkaya pribadi, klu mau niat memakmurkan bangsa. Kita semua berkaca sama TNI yang berjuang mempertaruhkan nyawa untuk bangsa . Sampai KASAD Jend Dudung cek TNI ad dompet isinya 2 RB .",moga aparat hukum tindak aparat main untuk kaya pribadi kalau niat makmur bangsa kaca tni juang taruh nyawa bangsa kasad jend dudung cek tni ada dompet isi  rb
79,Susanti1 Djalante,2023-09-15T10:38:53Z,Terima kasih Pak kapolri. ANDA MENYELAMATKAN ANAK BANGSA DARI KEJAHATAN NARKOBA.,terima kasih kapolri selamat anak bangsa jahat narkoba
80,Dewi Barokah,2023-09-15T08:18:32Z,Sagt tdk mungkin brg hram tu bs masuk ke negri in atw bs bkn prusahaan didlm kl tdk ad bekingan dri oknum yg berpangkt tinggi..kapolri hrus lbih pro aktif dlm mylidiki brg&quot;trlarang..byang rusakx bagsa tu  narkoba n koropsi..hukumn hrus mti..,sagt tidak brg hram negri bkn prusahaan didalam kalau tidak ada beking ooknum berpangkt kapolri hrus lbih pro aktif dalam mylidiki brg trlarang byang rusakx bagsa narkoba koropsi hukumn hrus mti
81,Wahid Salati,2023-09-13T08:55:14Z,Kenyataan sudah masuk dan pasti meracuni anak bangsa merasa bangga.woy polisi kemana saja selama ini tapi GK heran jendral polisi saja jualan narkoba apa lagi yg lain,nyata racun anak bangsa bangga woy polisi mana heran jendral polisi jual narkoba
82,wulan wulan,2023-09-17T00:51:42Z,Alhamdulillah. smoga indonesia. .bersih dr narkoba. kami yg jauh lihat ikut senang. trimakasih bpk&quot; kapolres berta stap ny. 👍👍🙏,smoga indonesia bersih dr narkoba senang terimakasih bpk kapolres berta stap
83,Ayesa J,2023-09-22T04:04:07Z,Penjual narkoba adalah kejahatan.polisi yg mengendalikan peredaran narkoba adalah penghianat bangsa..<br>Kira2 dari 2 penjahat ini mana yg lebih berbahaya bagi Negara ini,jual narkoba jahat polisi kendali edar narkoba penghianat bangsa kira  jahat bahaya negara
84,juniko haris,2023-09-13T05:19:02Z,Kenapa kok narkoba dan Pornografi  pemerintah lebih gampang menangani dan lebih cepat mengusut hukum nya tapi kalau masalah urusan Korupsi sangat susah untuk di usut tuntas dan sangat lambat kinerjaan saat ada pemberantasan Korupsi sangat mudah menangani Kasus seperti ini,narkoba pornografi perintah gampang tangan cepat usut hukum urus korupsi susah usut tuntas lambat kerja berantas korupsi mudah tangan
85,AYU FASHION,2023-09-13T10:33:42Z,"sita semua hartanya kembalikan ke negara biar negara kita kaya raya,yg cari duit di gantung keren tenan ki",sita harta kembali negara biar negara kaya raya cari duit gantung keren tenan ki
86,MALICA PRO,2023-09-16T01:36:39Z,"Kinerja Polri yg sngat membanggakan ,mmbrantas jaringan Narkoba trbesar asia,,",kerja polri sngat bangga mmberantas jaring narkoba trbesar asia
87,misriah 1802,2023-09-18T08:09:41Z,"Klo tugas polisi yg berhubungan dgn narkoba di tingkat bawa gak mbeling / sering minta tebusan uang utk tangkapannya , tentu kasus2 besar spti ini akan banyak terungkap , mau terungkap gimana wong tangkapannya di lepas setelah di tukar dgn sejumlah uang....<br>Polisi2 spti ini perusak citra POLRI",kalau tugas polisi hubung dengan narkoba tingkat bawa gak mbeling tebus uang untuk tangkap kasus spti ungkap ungkap gimana tangkap lepas tukar dengan uang polisi spti usak citra polri
88,KI RONGGO,2023-09-15T23:20:27Z,KLU PENGEDAR HARTA KEKAYAANNYA DI SITA NEGARA TAPI KNPA POLISI TIDK BERANI MENYITA HARTA PARA KORUPTOR,kalau edar harta kaya sita negara kenapa polisi tidk berani sita harta koruptor
