Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
717,Andi Mayori,2023-09-15T06:47:25Z,"Jangan sampai lepas ini tersangka, sangat berbahaya, salut utk kepolisian ke tiga negara dpt mengungkap sindikat narkotika Internasional..",lepas sangka bahaya salut untuk polisi negara dpt ungkap sindikat narkotika internasional
718,Eko Yanto,2023-09-19T08:14:00Z,"Sindikat narkoba itu membahayakan generasi muda, klau tertangkap gembongnya d exsekusi aj, kayak Fredy Budiman jg orang&quot; asing yg telah d exsekusi, lebih baik korban para gembong&quot; narkoba, dari pada korban rakyat",sindikat narkoba bahaya generasi muda kalau tangkap gembong eksekusi aj kayak fredy budiman juga asing eksekusi korban gembong narkoba korban rakyat
719,Emilia Emilia,2023-09-12T23:26:41Z,"Tdk sampai di penangkapan², pengamanan &amp; pemusnahan barang bukti pun hrs jadi perhatian khusus !!!!!!",tidak tangkap aman musnah barang bukti hrs perhati
720,C҉1҉B҉3҉A҉,2023-09-13T04:59:57Z,"Kl indonesia mau benar2 mmberantas narkoba terapkan hukuman mati  bagi pengedar..berapapun nilainya. Tp  krn ga smeua aparat dn pejabat pemerintah yg stuju krn di balik itu bisnis gelapnya berjalan...jdi rusaknya negara krn rusaknya masyaraktnya,rusaknya masyarakat krn rusaknya pemerintah.",kalau indonesia benar mmberantas narkoba terap hukum mati edar nilai tapi karena tidak smeua aparat dan jabat perintah stuju karena bisnis gelap jalan jadi rusak negara karena rusak masayarakt rusak masayarakat karena rusak perintah
721,Dwi Nugraha,2023-09-13T00:59:04Z,Tar tau&quot; hukuman mati jadi seumur hidup lewat lembaga tinggi negara yang kemarin kasih keringanan utk FS dkk... 😊,tar tau hukum mati umur hidup lembaga negara kemarin kasih ringan untuk fs dkk
722,gina Rahmadani,2023-09-16T01:06:14Z,"nih yah biar adil udh sih narkoba bebasin aja,dri pda hukum tumpul keatas tajam kbawah,pengecer dan bandar besar dtangkap,sambo gmn??yg ada pangkat dan kuasa gmn??mending bebasin aja skalian narkoba di indonesia,biar kepolisian juga senang ga repot2 tkt sama yg modelnya kek tedy dan sambo",nih biar adil sudah narkoba bebasin pda hukum tumpul atas tajam kbawah ecer bandar dtangkap sambo pangkat kuasa mending bebasin skalian narkoba indonesia biar polisi senang tidak repot tkt model kek tedy sambo
723,Mulyadi Mulyadi,2023-09-16T08:26:19Z,Kalau gak ada kongkalikong dgn apat aparat ini tidangmungkin sedemikian pesatnya narkoba di indonesia,gak kongkalikong dengan apat aparat tidangmungkin pesat narkoba indonesia
724,Edy Arpandi,2023-09-13T01:49:45Z,"Mantap Bravo Kepolisian,sikat habis para bandar Narkoba dan kaki tangannya jg kasih kendor,kamu yakin masih banyak lagi para perusak generasi muda Negri ini yg sangat menikmati hasil kejahatannya di Propinsi dan Daerah 👍",mantap bravo polisi sikat habis bandar narkoba kaki tangan juga kasih kendor usak generasi muda negri nikmat hasil jahat propinsi daerah
725,buzzer_AHOK,2023-09-13T03:08:41Z,Si sigit dapet kyk nya..teddy aja daper..masak sigit gak dapet..😅😅😅,sigit dapet kyk teddy daper masak sigit gak dapet
726,Ahmad Fikri,2023-09-16T07:13:43Z,CAAIIIIIRRRRRRR 🤣<br>SEKILO AJA BANYAK DUITNYA <br>APALAGI 10T<br>Pura2 ga tau aja dah 🤣🤣,caaiiiiirrrrrrr kilo duit    tidak tau
